Unnamed: 0,CARNAME,ID,Make,Model,Body color,Type of finish,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,El. motor power,CO2 emissions,Emission class,Battery type,AC charging time,DC charging time,Battery warranty (km),Range extender,Mileage,First registration,Condition,Consumption,Price,Currency,Tags,Engine capacity,Valid MOT until,Previous owners,Engine power,Battery capacity,Hybrid type,Electric range,Warranty until,Weight,Country of origin,Secondary drive,Energy efficiency,Full service history,Battery capacity1
706,mercedes-benz vito,61024007,Mercedes-Benz,Vito,White,,Grey interior,Cloth interior,Cargo VAN,4/5 doors,3,not published by the seller,Diesel,Manual,4x2,84 kW,,163 g/km,Euro 6,,,,,,60 000 km,2/2019,Used,6.2 l/100km (combined); 6.3 l/100km (city); 6.3 l/100km ,20949,EUR,Bluetooth; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; On-board computer; Fatigue warning system; CD player; USB; Front electric windows,1 598 ccm,,,,,,,,1781.0,Austria,,,,
707,skoda kodiaq,61024009,Skoda,Kodiaq,Black,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,140 kW,,150 g/km,Euro 6d-TEMP,,,,,,76 000 km,7/2018,,5.8 l/100km (combined); 6.6 l/100km (city); 5.3 l/100km ,31399,EUR,Heated rear seats; Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming,1 968 ccm,,2.0,,,,,,,,,,,
708,fiat panda,61024003,Fiat,Panda,White,,Other interior color,Cloth interior,Hatchback,4/5 doors,4,not published by the seller,Petrol,Manual,4x2,51 kW,,0 g/km,Euro 6,,,,,,5 km,9/2023,New,,17949,EUR,Apple CarPlay; Android auto; Integrated music streaming; Bluetooth; Automatic A/C; Sport package; Multifunctional steering wheel; Daytime running lights; On-board computer; Start-stop system,999 ccm,,,,,,,,,Germany,,,,
709,volvo xc40,61024008,Volvo,XC40,Grey,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,182 kW,,166 g/km,Euro 6,,,,,,92 318 km,6/2018,Used,7.3 l/100km (combined),38699,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition,1 969 ccm,,,,,,,,1584.0,,,,,
710,bmw x7,61024004,BMW,X7,Black,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,not published by the seller,Diesel,Automatic,4x4,294 kW,,238 g/km,Euro 6d-TEMP,,,,,,94 750 km,11/2019,,7.1 l/100km (combined); 7.8 l/100km (city); 6.7 l/100km ,86499,EUR,Laser headlights; Driver's seat with massage function; Ventilated front seats; Heated rear seats; Air suspension; Parking assist system self-steering; Digital cockpit; Keyless entry; Smart key; Electric adjustable front seats,2 993 ccm,,2.0,,,,,,,,,,,
711,mercedes-benz eqb,61024010,Mercedes-Benz,EQB,Grey,,Other interior color,Cloth interior,SUV / offroad,4/5 doors,7,not published by the seller,Electric,Automatic,4x2,140 kW,,0 g/km,No emission class,,,,,,7 500 km,9/2023,Demonstration car,0 kWh/100km (combined),64949,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Voice control; Navigation system; El. tailgate; Traffic sign recognition; Automatic A/C; High beam assist,,,,,,,,,2010.0,,,,,
712,fiat 500,61024005,Fiat,500,Green,,Grey interior,Cloth interior,Hatchback,2/3 doors,4,not published by the seller,Petrol,Manual,4x2,51 kW,,88 g/km,Euro 6d,,,,,No,2 740 km,9/2022,,4.7 l/100km (combined); 4.9 l/100km (city); 3.6 l/100km ,15299,EUR,Apple CarPlay; Panoramic roof; Bluetooth; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Start-stop system; USB,999 ccm,09/2025,1.0,,,Mild hybrid,,,,,,,,
713,hyundai ioniq-5,61024016,Hyundai,Ioniq 5,Gold,,,Cloth interior,SUV / offroad,4/5 doors,5,KMHKM81BFPU125795,Electric,Automatic,4x2,125 kW,252 kW,0 g/km,,Lithium polymer (Li-pol),5 h,18 min,160000 km,No,10 844 km,1/2022,Used,,39199,EUR,LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Traffic sign recognition,,,,,58 kWh,,,,,,,,,
714,nissan juke,61024015,Nissan,Juke,White,,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,84 kW,,112 g/km,Euro 6d-TEMP,,,,,,33 347 km,1/2021,Used,4.9 l/100km (combined); 4.9 l/100km (city); 4.9 l/100km ,23099,EUR,LED headlights; Traffic sign recognition; Bluetooth; Rain sensor; Lane assist; Side mirrors with electic adjustment; Alarm; Alloy wheels,999 ccm,,,,,,,,1261.0,,,,,
715,suzuki sx4-s-cross,61023986,Suzuki,SX4 S-Cross,White,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x4,95 kW,,0 g/km,Euro 6d-TEMP,,,,,No,1 km,9/2023,New,,25649,EUR,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; Voice control; Navigation system,1 373 ccm,,,,,Mild hybrid,,,,,,,,
716,hyundai kona,61023988,Hyundai,Kona,Black,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,100 kW,0 g/km,No emission class,Lithium polymer (Li-pol),,,,No,46 376 km,4/2021,,,21399,EUR,Autonomous driving; Heated front seats; Navigation system; Heated steering wheel; Bluetooth; Automatic A/C; Light sensor; Lane assist; Hill-start assist; Front collision warning system,,,1.0,,42 kWh,,,,,,,,,
