CARNAME,ID,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power(kW),CO2 emissions(g/km),Emission class,Mileage(km),First registration,Condition,Consumption(l/100km or kWh/100km),Price(EUR),Previous owners,Engine capacity(ccm),Tags
bmw 225-active-tourer,61186005,BMW,225 Active Tourer,Black,Black interior,Alcantara interior,MPV,4/5 doors,5,Hybrid,Automatic,4x4,165,41,Euro 6d-TEMP,26731,01/10/2022,Used,1.8,39449,0,1499,Air suspension; LED headlights; Adaptive cruise control; Bluetooth; Alcantara interior; Rain sensor; Light sensor; Side mirrors with electic adjustment; Alloy wheels
skoda kodiaq,61186010,Skoda,Kodiaq,Red,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,143,Euro 6d,10750,01/04/2023,Used,6.9,44149,1,1498,LED headlights; Digital cockpit; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot
renault captur,61186016,Renault,Captur,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,66,125,Euro 6,45185,01/12/2019,Used,5.5,15899,1,898,Keyless ignition; Navigation system; Automatic A/C; Automatic lights; Rain sensor; Hill-start assist; Autom. dimming side mirros; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights
peugeot 3008,61186011,Peugeot,3008,Blue,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x4,221,108,Euro 6,30372,01/12/2022,Used,5.5,39299,0,1598,Adaptive cruise control; Automatic multi-zone A/C; Voice control; Navigation system; Traffic sign recognition; Automatic lights; Rain sensor; Blind spot assist; Hill-start assist; Front collision warning system
opel mokka-x,61186017,Opel,Mokka X,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,LPG,Manual,4x2,103,148,No emission class,52358,01/05/2019,Used,7.6,17749,0,1364,Bluetooth; Automatic A/C; High beam assist; Multifunctional steering wheel; On-board computer; Start-stop system; Front electric windows; Alloy wheels
renault grand-scenic,61186014,Renault,Grand Scenic,White,Black interior,Cloth interior,MPV,4/5 doors,7,Diesel,Manual,4x2,88,127,Euro 6,67746,01/01/2020,Used,4.8,22149,0,1750,Head-up display; Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Glare-free high beam headlights; Traffic sign recognition; Rear parking camera; Automatic lights; Rain sensor
mercedes-benz v-300,61186013,Mercedes-Benz,V 300,Black,Black interior,Cloth interior,MPV/VAN,4/5 doors,7,Diesel,Automatic,4x2,174,202,Euro 6d-TEMP,75490,01/02/2021,Used,7.7,68299,2,1950,LED headlights; Keyless entry; Burmester audio; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Navigation system; El. tailgate
skoda superb,61186008,Skoda,Superb,Green,Black interior,Other interior material,Station Wagon,4/5 doors,5,Hybrid,Automatic,4x2,160,119,Euro 6d,69800,01/06/2020,Used,5.1,27799,1,1395,LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; El. tailgate; Paddle shifters
bmw 225-active-tourer,61186005,BMW,225 Active Tourer,Black,Black interior,Alcantara interior,MPV,4/5 doors,5,Hybrid,Automatic,4x4,165,41,Euro 6d-TEMP,26731,01/10/2022,Used,1.8,39449,0,1499,Air suspension; LED headlights; Adaptive cruise control; Bluetooth; Alcantara interior; Rain sensor; Light sensor; Side mirrors with electic adjustment; Alloy wheels
renault captur,61186015,Renault,Captur,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,67,122,Euro 6d-TEMP,2001,01/12/2023,Demonstration car,5.4,22799,1,999,LED headlights; Keyless entry; Heated front seats; Integrated music streaming; Keyless ignition; Voice control; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic A/C
skoda kodiaq,61186010,Skoda,Kodiaq,Red,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,143,Euro 6d,10750,01/04/2023,Used,6.9,44149,1,1498,LED headlights; Digital cockpit; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot
renault captur,61186016,Renault,Captur,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,66,125,Euro 6,45185,01/12/2019,Used,5.5,15899,1,898,Keyless ignition; Navigation system; Automatic A/C; Automatic lights; Rain sensor; Hill-start assist; Autom. dimming side mirros; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights
audi a1,61185994,Audi,A1,White,Black interior,Cloth interior,Hatchback,2/3 doors,4,Petrol,Automatic,4x2,70,102,Euro 6,111200,01/03/2016,Used,4.4,15899,0,999,Heated front seats; Voice control; Sport front seats; Bi-xenon headlights; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Hill-start assist; Parking sensors
bmw 740,61185998,BMW,740,Grey,Other interior color,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x4,220,0,Euro 6d,50,01/09/2023,New,4.8,164249,1,2993,Air suspension; Parking assist system self-steering; LED headlights; Keyless entry; Bowers & Wilkins audio; Heated front seats; Active steering; Keyless ignition; Soft close doors; El. tailgate
kia xceed,61186001,Kia,XCeed,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,100,108,Euro 6,61063,01/06/2021,Used,4.3,21099,1,1598,Automatic multi-zone A/C; Navigation system; Bluetooth; Rear parking camera; Automatic lights; Rain sensor; Autom. dimming side mirros; Daytime running lights; Electrically heated side mirrors; On-board computer
mercedes-benz eqb,61185993,Mercedes-Benz,EQB,Blue,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Electric,Automatic,4x4,215,0,Euro 6d-TEMP,4558,01/03/2023,Used,5.534431978,44749,1,1499,Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Navigation system; Glare-free high beam headlights; El. tailgate; Paddle shifters; Traffic sign recognition; Bluetooth
kia stonic,61185996,Kia,Stonic,Blue,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,74,102,No emission class,25000,01/08/2021,Used,4.5,20449,0,998,Apple CarPlay; Android auto; Heated steering wheel; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Hill-start assist; Side mirrors with electic adjustment; Leather steering wheel
toyota corolla,61186004,Toyota,Corolla,White,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Hybrid,Automatic,4x2,144,89,Euro 6d-TEMP,9,01/07/2023,New,4.8,33749,0,1987,Parking assist system self-steering; LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control
seat arona,61185995,Seat,Arona,Red,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,81,109,No emission class,9900,01/03/2023,Used,4.8,19949,0,999,Bluetooth; USB
citroen c5-aircross,61186003,Citroen,C5 Aircross,White,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Other fuel type,Automatic,4x2,165,102,No emission class,14125,01/02/2023,Used,5.2,40849,0,1598,Apple CarPlay; Bluetooth; USB; AUX
renault clio,61185997,Renault,Clio,Blue,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,66,120,Euro 6,20,01/12/2023,New,5.3,23599,0,999,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control
toyota yaris-cross,61186002,Toyota,Yaris Cross,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,68,102,Euro 6,10000,01/12/2023,Used,4.3,28899,0,1490,Adaptive cruise control; Keyless ignition; Navigation system; Traffic sign recognition; Rear parking camera; Automatic A/C; Automatic lights; Rain sensor; Lane assist; Hill-start assist
peugeot 3008,61186000,Peugeot,3008,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,96,108,Euro 6,25515,01/10/2022,Used,5.5,31999,1,1499,Adaptive cruise control; Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Traffic sign recognition; Rear parking camera; Automatic lights; Rain sensor; Lane assist
citroen c3,61186023,Citroen,C3,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,81,120,Euro 6,14810,01/07/2022,Used,5.9,20799,1,1199,Voice control; Navigation system; Traffic sign recognition; Rear parking camera; Automatic A/C; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Autom. dimming side mirros
bmw 330,61186032,BMW,330,Grey,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x2,190,162,Euro 6,74735,01/10/2019,Used,6.1,38799,0,1998,Digital cockpit; Heated front seats; Paddle shifters; Sport front seats; Sport-suspension system; Alcantara interior; Parking sensors; Alarm
bmw 218,61186035,BMW,218,White,Black interior,Part leather interior,Coupe,2/3 doors,5,Petrol,Automatic,4x2,103,159,Euro 6d-TEMP,62499,01/07/2020,Used,7,27999,1,1499,LED headlights; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Voice control; Navigation system; Sport front seats; Traffic sign recognition; Bluetooth
volkswagen taigo,61186036,Volkswagen,Taigo,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,116,Euro 6d,24650,01/06/2022,Used,5.1,33999,1,1498,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Navigation system
mazda 2,61186022,Mazda,2,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,85,115,Euro 6,70400,01/06/2016,Used,4.8,12199,0,1496,Heated front seats; Keyless ignition; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Hill-start assist; Multifunctional steering wheel; Electrically heated side mirrors; Electrically foldable side mirrors
