,Weight,Engine power,Emission class,Engine capacity,Condition,VIN,Full service history,Price,Power,CARNAME,Previous owners,ID,Battery type,Battery warranty (km),Interior color,Mileage,Make,Hybrid type,El. motor power,Model,Electric range,Battery capacity,First registration,Doors,Valid MOT until,Country of origin,Energy efficiency,CO2 emissions,Type of finish,Currency,Tags,AC charging time,Interior material,DC charging time,Secondary drive,Consumption,Body,Warranty until,Body color,Seats,Transmission,Fuel,Range extender,Battery capacity1,Drive type
1001,1248,,Euro 6d-TEMP,1 461 ccm,Used,not published by the seller,,19299,74 kW,renault clio,,61021774,,,Grey interior,20 453 km,Renault,,,Clio,,,1/2023,4/5 doors,,Germany,,0 g/km,Metallic,EUR,LED headlights; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth,,Cloth interior,,,,Hatchback,,Grey,5,Manual,Diesel,,,4x2
1002,1527,110 kW,Euro 6d-TEMP,1 395 ccm,Used,not published by the seller,,28899,180 kW,volkswagen golf,,61021761,Lithium-ion (Li-ion),,Black interior,27 359 km,Volkswagen,Plug-in hybrid,85 kW,Golf,,13 kWh,2/2021,4/5 doors,,,,106 g/km,,EUR,LED headlights; Digital cockpit; Adaptive cruise control; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Paddle shifters; Sport front seats,4 h,Velour interior,,,4.6 l/100km (combined),Hatchback,,Grey,5,Automatic,Hybrid,No,,4x2
1003,1995,,No emission class,2 151 ccm,New,not published by the seller,,63799,142 kW,kia sorento,,61021741,,,Black interior,0 km,Kia,,,Sorento,,,9/2023,4/5 doors,,Germany,,160 g/km,Metallic,EUR,Ventilated front seats; Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display,,Full leather interior,,,6 l/100km (combined); 6 l/100km (city); 6 l/100km ,SUV / offroad,,Grey,5,Automatic,Diesel,,,4x4
1004,1530,,No emission class,,,not published by the seller,,41749,100 kW,peugeot 208,,61021744,,,Other interior color,1 km,Peugeot,,,208,,,8/2023,4/5 doors,,,,0 g/km,Metallic,EUR,Digital cockpit; Keyless ignition; Navigation system; Sport front seats; Traffic sign recognition; Automatic A/C; Rain sensor; Lane assist; Hill-start assist; Front collision warning system,,Cloth interior,,,,Hatchback,,Black,5,Automatic,Electric,,,4x2
1005,1530,,No emission class,,,not published by the seller,,41749,100 kW,peugeot 208,,61021744,,,Other interior color,1 km,Peugeot,,,208,,,8/2023,4/5 doors,,,,0 g/km,Metallic,EUR,Digital cockpit; Keyless ignition; Navigation system; Sport front seats; Traffic sign recognition; Automatic A/C; Rain sensor; Lane assist; Hill-start assist; Front collision warning system,,Cloth interior,,,,Hatchback,,Black,5,Automatic,Electric,,,4x2
1006,,,No emission class,999 ccm,New,not published by the seller,,19799,70 kW,seat ibiza,,61021755,,,Black interior,1 km,Seat,,,Ibiza,,,9/2023,4/5 doors,,,,107 g/km,,EUR,LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Navigation system; Bluetooth; Light sensor; Lane assist; Hill-start assist,,Cloth interior,,,4.7 l/100km (combined),Hatchback,,Red,5,Manual,Petrol,,,4x2
1007,,,Euro 6,1 580 ccm,,not published by the seller,,26199,104 kW,kia xceed,,61021748,,,Other interior color,34 113 km,Kia,,,XCeed,,,12/2020,4/5 doors,,,,108 g/km,,EUR,Automatic A/C; Rain sensor; Daytime running lights,,Other interior material,,,4.4 l/100km (combined),SUV / offroad,,Grey,5,Automatic,Hybrid,,,4x2
1008,1065,,Euro 6d-TEMP,1 368 ccm,New,not published by the seller,,28149,121 kW,abarth 595-turismo,,61021743,,,Black interior,5 km,Abarth,,,595 Turismo,,,9/2023,2/3 doors,,Germany,,0 g/km,,EUR,Digital cockpit; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Bluetooth; Sport-suspension system; Leather; Automatic A/C,,Full leather interior,,,,Hatchback,,Red,4,Manual,Petrol,,,4x2
1009,1045,,Euro 6d-TEMP,875 ccm,,not published by the seller,,24899,62 kW,fiat panda,,61021740,,,Grey interior,1 km,Fiat,,,Panda,,,10/2023,4/5 doors,,,,131 g/km,,EUR,Apple CarPlay; Bluetooth; Multifunctional steering wheel; Side mirrors with electic adjustment; On-board computer; Alarm; Start-stop system; Front electric windows,,Cloth interior,,,5.7 l/100km (combined); 5.7 l/100km (city); 5.7 l/100km ,Hatchback,,Grey,4,Manual,Petrol,,,4x4
1010,,,Euro 6,1 498 ccm,,not published by the seller,,30999,110 kW,volkswagen taigo,1,61021754,,,Black interior,7 480 km,Volkswagen,,,Taigo,,,6/2022,4/5 doors,06/2025,,,116 g/km,Metallic,EUR,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof,,Cloth interior,,,5.1 l/100km (combined),SUV / offroad,,Grey,5,Automatic,Petrol,,,4x2
