,Weight,Engine power,Emission class,Engine capacity,Condition,VIN,Full service history,Price,Power,CARNAME,Previous owners,ID,Battery type,Battery warranty (km),Interior color,Mileage,Make,Hybrid type,El. motor power,Model,Electric range,Battery capacity,First registration,Doors,Valid MOT until,Country of origin,Energy efficiency,CO2 emissions,Type of finish,Currency,Tags,AC charging time,Interior material,DC charging time,Secondary drive,Consumption,Body,Warranty until,Body color,Seats,Transmission,Fuel,Range extender,Battery capacity1,Drive type
153,,,Euro 6,4 951 ccm,Used,not published by the seller,,53849,331 kW,ford mustang,1,61023055,,,Black interior,36 000 km,Ford,,,Mustang,,,4/2018,2/3 doors,,,,279 g/km,Metallic,EUR,Smart key; Electric adjustable front seats; Adaptive cruise control; Keyless ignition; Voice control; Heated steering wheel; El. tailgate; Paddle shifters; Bluetooth; Automatic 2-zones air conditioning,,,,,11.7 l/100km (combined),Cabriolet,12/2024,Blue,4,Automatic,Petrol,,,4x2
154,,,Euro 6d-TEMP,1 968 ccm,,not published by the seller,,28299,110 kW,audi q2,1,61023039,,,Black interior,64 652 km,Audi,,,Q2,,,10/2020,4/5 doors,,,,133 g/km,Metallic,EUR,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition; Voice control,,Cloth interior,,,5.1 l/100km (combined); 6 l/100km (city); 4.6 l/100km ,SUV / offroad,,Grey,5,Automatic,Diesel,,,4x4
155,,,Euro 6d-TEMP,2 956 ccm,New,not published by the seller,,77899,215 kW,ford ranger,,61023040,,,Black interior,50 km,Ford,,,Ranger,,,9/2023,4/5 doors,,Germany,,315 g/km,Metallic,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot,,Full leather interior,,,13.8 l/100km (combined); 13.8 l/100km (city); 13.8 l/100km ,Pick-up,,Grey,5,Automatic,Petrol,,,4x4
156,1365,,Euro 6d-TEMP,1 598 ccm,Used,not published by the seller,,23349,85 kW,audi a3,,61023038,,,Other interior color,46 623 km,Audi,,,A3,,,6/2020,4/5 doors,,Italy,,115 g/km,,EUR,LED headlights; Digital cockpit; Navigation system; Bluetooth; Automatic A/C; Side mirrors with electic adjustment; Automatic parking brake; Start-stop system; Heated windshield; USB,,Other interior material,,,4.4 l/100km (combined),Sedans / saloons,,Blue,5,Manual,Diesel,,,4x2
157,,,Euro 6d-TEMP,,New,not published by the seller,,39949,87 kW,fiat 500,,61023044,Lithium-ion (Li-ion),160000 km,Beige interior,15 km,Fiat,,87 kW,500,,42 kWh,8/2023,2/3 doors,,Germany,,0 g/km,Metallic,EUR,LED headlights; Digital cockpit; Keyless entry; Front seats with memory; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition,4 h,Part leather interior,34 min,,14.9 kWh/100km (combined),Hatchback,,Blue,4,Automatic,Electric,No,,4x2
158,,,Euro 6,999 ccm,Used,not published by the seller,,26199,61 kW,volkswagen up!,1,61023048,,,,1 000 km,Volkswagen,,,up!,251 km,32 kWh,11/2023,4/5 doors,,,,98 g/km,Metallic,EUR,Heated front seats; Rear parking camera; Automatic A/C; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,,,,,5 l/100km (combined),Hatchback,12/2025,Black,4,Automatic,Petrol,No,,4x2
159,2105,,Euro 6d,1 898 ccm,Used,not published by the seller,,45949,120 kW,isuzu d-max,,61023042,,,Black interior,5 000 km,Isuzu,,,D-Max,,,3/2023,4/5 doors,,,,195 g/km,Metallic,EUR,LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Keyless ignition,,Full leather interior,,,7.4 l/100km (combined),Pick-up,,Silver,5,Automatic,Diesel,,,4x4
160,2015,,No emission class,,Used,not published by the seller,,68699,140 kW,mercedes-benz eqb,,61023043,,,Other interior color,150 km,Mercedes-Benz,,,EQB,,,1/2023,4/5 doors,,,,0 g/km,,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; El. tailgate; Traffic sign recognition,,Cloth interior,,,0 kWh/100km (combined),SUV / offroad,,,5,Automatic,Electric,,,4x2
161,,,Euro 6d,1 199 ccm,,not published by the seller,,24199,81 kW,opel combo,1,61023037,,,Brown interior,66 175 km,Opel,,,Combo,,,6/2019,4/5 doors,,,,125 g/km,Metallic,EUR,Parking assist system self-steering; Heated front seats; Head-up display; Apple CarPlay; Android auto; Panoramic roof; Voice control; Navigation system; Heated steering wheel; El. tailgate,,Cloth interior,,,5.5 l/100km (combined); 6.3 l/100km (city); 5 l/100km ,Cargo VAN,,Brown,5,Manual,Petrol,,,4x2
162,2104,,No emission class,1 997 ccm,Used,not published by the seller,,41799,110 kW,renault trafic,,61023046,,,Other interior color,10 km,Renault,,,Trafic,,,9/2023,4/5 doors,,,,179 g/km,,EUR,Apple CarPlay; Android auto; Navigation system; Hill-start assist; On-board computer; USB; AUX,,Other interior material,,,6.8 l/100km (combined),Cargo VAN,,Grey,3,Manual,Diesel,,,4x2
163,,,Euro 6,1 968 ccm,,not published by the seller,,18349,110 kW,skoda octavia,2,61023035,,,Black interior,98 865 km,Skoda,,,Octavia,,,4/2018,4/5 doors,,,,114 g/km,Metallic,EUR,LED headlights; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Voice control; Navigation system; El. tailgate; Bluetooth,,Cloth interior,,,4.4 l/100km (combined); 5.2 l/100km (city); 3.9 l/100km ,Station Wagon,,Black,5,Manual,Diesel,,,4x2
164,1295,,No emission class,1 498 ccm,Used,not published by the seller,,20249,96 kW,volkswagen golf,,61023047,,,Other interior color,82 300 km,Volkswagen,,,Golf,,,10/2020,4/5 doors,,,,95 g/km,Metallic,EUR,Bluetooth; Lane assist; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; USB; Front electric windows; Alloy wheels,,Velour interior,,,5.3 kg/100km (combined); 5.3 kg/100km (city); 5.3 kg/100km ,Hatchback,,Grey,5,Automatic,CNG,,,4x2
165,1620,,Euro 6d,1 998 ccm,Used,not published by the seller,,44149,180 kW,bmw 430,,61023020,,,Other interior color,20 279 km,BMW,,,430,,,6/2022,2/3 doors,,,,0 g/km,Metallic,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Panoramic roof; Navigation system; Sport-suspension system; Alcantara interior; Automatic A/C; Lane assist,,Alcantara interior,,,,Coupe,,Blue,4,Automatic,Petrol,,,4x2
166,,,Euro 6d-TEMP,1 498 ccm,New,not published by the seller,,29299,110 kW,skoda kamiq,,61023019,,,Black interior,10 km,Skoda,,,Kamiq,,,9/2023,4/5 doors,,,,115 g/km,Metallic,EUR,LED headlights; Keyless entry; Bang & Olufsen audio; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Heated steering wheel; El. tailgate; Bluetooth,,Cloth interior,,,5.4 l/100km (combined); 6.5 l/100km (city); 4.5 l/100km ,SUV / offroad,,Grey,5,Automatic,Petrol,,,4x2
167,,,Euro 6,1 995 ccm,Used,not published by the seller,,41899,95 kW,ford transit,,61023022,,,,8 004 km,Ford,,,Transit,,,9/2021,2/3 doors,,,,167 g/km,,EUR,Lane assist; Hill-start assist; Front collision warning system; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; Leather steering wheel; On-board computer; USB,,,,,7.9 l/100km (combined),Cargo VAN,,White,3,Manual,Diesel,,,4x2
168,,,Euro 6d,1 199 ccm,,not published by the seller,,26799,81 kW,opel combo,3,61023024,,,Grey interior,44 720 km,Opel,,,Combo,,,5/2020,4/5 doors,,,,125 g/km,,EUR,Parking assist system self-steering; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Heated steering wheel,,Cloth interior,,,5.5 l/100km (combined); 6.3 l/100km (city); 5 l/100km ,Cargo VAN,,Black,5,Manual,Petrol,,,4x2
169,,,Euro 6d,1 395 ccm,,not published by the seller,,27599,160 kW,skoda superb,1,61023025,Lithium-ion (Li-ion),,Black interior,33 389 km,Skoda,Plug-in hybrid,85 kW,Superb,,13 kWh,11/2020,4/5 doors,,,,127 g/km,Metallic,EUR,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Glare-free high beam headlights,4 h,Cloth interior,,,5.6 l/100km (combined),Station Wagon,,Grey,5,Automatic,Hybrid,No,,4x2
170,,72 kW,Euro 6d-TEMP,1 798 ccm,Demonstration car,not published by the seller,,34499,90 kW,toyota corolla,,61023032,Lithium-ion (Li-ion),100000 km,Black interior,10 km,Toyota,Full hybrid,53 kW,Corolla,,3 Ah,11/2023,4/5 doors,,,,89 g/km,,EUR,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Heated steering wheel,,Part leather interior,,,3.6 l/100km (combined); 4.7 l/100km (city); 4.7 l/100km ,Sedans / saloons,,White,5,Automatic,Hybrid,No,,4x2
171,1090,,No emission class,1 490 ccm,New,not published by the seller,,22249,85 kW,toyota yaris,,61022997,,,Other interior color,1 km,Toyota,,,Yaris,,,9/2023,4/5 doors,,Germany,,73 g/km,,EUR,Voice control; Navigation system; Traffic sign recognition; Automatic A/C; Lane assist; Hill-start assist; Front collision warning system; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,,Other interior material,,,3.2 l/100km (combined); 3.2 l/100km (city); 3.2 l/100km ,Hatchback,,,,Automatic,Hybrid,,,4x2
172,,,Euro 6,1 199 ccm,Used,not published by the seller,,23699,96 kW,peugeot 5008,,61023003,,,Black interior,34 800 km,Peugeot,,,5008,,,7/2019,4/5 doors,,,,118 g/km,,EUR,Apple CarPlay; Automatic multi-zone A/C; Navigation system; Heated steering wheel; Parking cameras; El. tailgate; Bluetooth; Automatic lights; Rain sensor; Lane assist,,Cloth interior,,,4.9 l/100km (combined),SUV / offroad,03/2024,White,7,Manual,Petrol,,,4x2
173,,,Euro 6,1 599 ccm,Used,not published by the seller,,34649,96 kW,peugeot 308,,61022983,,,Grey interior,26 409 km,Peugeot,,,308,,,6/2022,4/5 doors,,,,123 g/km,Metallic,EUR,Driver's seat with massage function; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto,,Full leather interior,,,4.6 l/100km (combined),Station Wagon,,Black,,Automatic,Diesel,,,4x2
174,,,Euro 6d,1 498 ccm,New,not published by the seller,,46349,110 kW,volkswagen t-roc,,61022985,,,Black interior,0 km,Volkswagen,,,T-Roc,,,9/2023,4/5 doors,,,,130 g/km,Metallic,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Integrated music streaming,,Cloth interior,,,6.4 l/100km (combined),Cabriolet,,Red,4,Automatic,Petrol,,,4x2
175,,69 kW,Euro 6,1 598 ccm,,not published by the seller,,26299,105 kW,renault captur,,61022995,Lithium-ion (Li-ion),,Other interior color,11 600 km,Renault,Full hybrid,36 kW,Captur,,1 kWh,2/2023,4/5 doors,,,,105 g/km,,EUR,Electric adjustable front seats; Navigation system; Automatic A/C; Rain sensor; Daytime running lights; Cornering lights; On-board computer; USB; Front electric windows; Alloy wheels,,Other interior material,,,4.7 l/100km (combined),SUV / offroad,,,5,Automatic,Hybrid,No,,4x2
176,,,Euro 6d-TEMP,999 ccm,New,not published by the seller,,35799,114 kW,ford puma,,61023010,,,Black interior,7 km,Ford,,,Puma,,,6/2023,4/5 doors,,,,102 g/km,Metallic,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control,,Cloth interior,,,5.6 l/100km (combined),SUV / offroad,,Red,5,Manual,Petrol,,,4x2
177,,,,1 598 ccm,Used,U5YPV81BGNL073298,,32399,110 kW,kia sportage,,61023012,,,,28 587 km,Kia,,,Sportage,,,1/2022,4/5 doors,,,,159 g/km,,EUR,Heated rear seats; LED headlights; Heated front seats; Apple CarPlay; Android auto; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic A/C,,Cloth interior,,,6.9 l/100km (combined),SUV / offroad,,White,5,Automatic,Petrol,,,4x2
178,,,Euro 6,1 968 ccm,,not published by the seller,,30399,110 kW,audi a3,1,61023013,,,Black interior,33 850 km,Audi,,,A3,,,10/2020,4/5 doors,,,,118 g/km,,EUR,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system,,Full leather interior,,,4.6 l/100km (combined),Sedans / saloons,,White,5,Automatic,Diesel,,,4x2
179,1635,,No emission class,1 997 ccm,,not published by the seller,,42149,107 kW,fiat scudo,,61022989,,,Other interior color,10 km,Fiat,,,Scudo,,,9/2023,4/5 doors,,,,196 g/km,,EUR,Apple CarPlay; Android auto; Voice control; Navigation system; Bluetooth; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment,,Other interior material,,,7.4 l/100km (combined),Cargo VAN,,White,,Manual,Diesel,,,4x2
180,,,Euro 6,1 598 ccm,Demonstration car,not published by the seller,,46049,166 kW,citroen c5-x,,61023014,,,Black interior,5 km,Citroen,,,C5 X,,,5/2023,4/5 doors,,,,0 g/km,Metallic,EUR,Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system,,Full leather interior,,,,Sedans / saloons,,Blue,,Automatic,Hybrid,,,4x2
181,,,Euro 6d,1 499 ccm,,not published by the seller,,31549,96 kW,opel combo,1,61022999,,,Other interior color,9 350 km,Opel,,,Combo,,,7/2022,4/5 doors,,,,117 g/km,,EUR,Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system; Heated steering wheel; Traffic sign recognition,,Cloth interior,,,4.4 l/100km (combined); 4.7 l/100km (city); 4 l/100km ,Cargo VAN,,Blue,5,Manual,Diesel,,,4x2
182,,,Euro 6,1 461 ccm,Used,not published by the seller,,9899,66 kW,renault clio,,61022996,,,,88 078 km,Renault,,,Clio,,,5/2019,4/5 doors,,,,104 g/km,,EUR,Daytime running lights; Electrically heated side mirrors; Front electric windows,,Cloth interior,,,3.9 l/100km (combined),Hatchback,12/2024,White,2,Manual,Diesel,,,4x2
183,,,Euro 6,999 ccm,,not published by the seller,,27299,114 kW,ford puma,2,61023008,,,Grey interior,42 800 km,Ford,,,Puma,,,5/2021,4/5 doors,,,,102 g/km,,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Keyless ignition; Panoramic roof; Voice control; Navigation system,,Part leather interior,,,5.7 l/100km (combined),SUV / offroad,,Grey,5,Manual,Petrol,,,4x2
184,,,Euro 5,1 956 ccm,,not published by the seller,,10599,121 kW,opel zafira,2,61022993,,,Black interior,173 200 km,Opel,,,Zafira,,,11/2012,4/5 doors,,,,164 g/km,,EUR,Heated front seats; Integrated music streaming; Navigation system; Heated steering wheel; Sport front seats; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning; Sport-suspension system; Leather,,Full leather interior,,,6.2 l/100km (combined); 5.2 l/100km (city); 4.6 l/100km ,MPV,,White,7,Manual,Diesel,,,4x2
185,,,Euro 6,1 461 ccm,,not published by the seller,,29949,85 kW,mercedes-benz a-180,,61023006,,,Black interior,52 633 km,Mercedes-Benz,,,A 180,,,6/2019,4/5 doors,,,,100 g/km,,EUR,Rain sensor; Alloy wheels,,Part leather interior,,,3.8 l/100km (combined); 4.4 l/100km (city); 3.6 l/100km ,Sedans / saloons,,White,5,Automatic,Diesel,,,4x2
186,,,Euro 5,1 397 ccm,,not published by the seller,,7499,96 kW,renault megane,1,61022981,,,Black interior,94 900 km,Renault,,,Megane,,,5/2011,2/3 doors,,,,153 g/km,Metallic,EUR,Heated front seats; Sport-suspension system; Rain sensor; Light sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; Leather steering wheel; On-board computer,,Cloth interior,,,6.5 l/100km (combined); 8.8 l/100km (city); 5.3 l/100km ,Coupe,,Grey,5,Manual,Petrol,,,4x2
187,,,Euro 6,1 499 ccm,,not published by the seller,,20049,96 kW,peugeot 3008,1,61022979,,,Black interior,105 000 km,Peugeot,,,3008,,,3/2019,4/5 doors,,,,103 g/km,Metallic,EUR,Head-up display; Bluetooth; Side mirrors with electic adjustment; Alloy wheels,,Cloth interior,,,3.9 l/100km (combined); 4.4 l/100km (city); 3.6 l/100km ,SUV / offroad,,Grey,5,Manual,Diesel,,,4x2
188,,,Euro 6,1 398 ccm,,not published by the seller,,11299,66 kW,opel corsa,1,61022976,,,Black interior,28 964 km,Opel,,,Corsa,,,12/2017,4/5 doors,,,,118 g/km,Metallic,EUR,Heated front seats; Heated steering wheel; Bluetooth; Rain sensor; Light sensor; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; On-board computer,,Cloth interior,,,5.1 l/100km (combined); 6.2 l/100km (city); 4.1 l/100km ,Hatchback,,Grey,5,Manual,Petrol,,,4x2
189,1595,,Euro 6d,1 499 ccm,Used,not published by the seller,,17949,96 kW,opel combo,,61022978,,,Black interior,123 654 km,Opel,,,Combo,,,11/2019,6/7 doors,,,,116 g/km,Metallic,EUR,Digital cockpit; Keyless entry; Keyless ignition; Navigation system; Traffic sign recognition; Bluetooth; High beam assist; Rain sensor; Lane assist; Multifunctional steering wheel,,Cloth interior,,,4.3 l/100km (combined),Cargo VAN,,Grey,7,Automatic,Diesel,,,4x2
190,895,,No emission class,,,not published by the seller,,19949,33 kW,dacia spring,,61022970,Lithium-ion (Li-ion),120000 km,Other interior color,1 km,Dacia,,33 kW,Spring,,27 kWh,9/2022,4/5 doors,,,,0 g/km,,EUR,Bluetooth; Automatic A/C; Light sensor; Side mirrors with electic adjustment; On-board computer; USB; Front electric windows,8 h,Velour interior,,,,SUV / offroad,,Grey,4,Automatic,Electric,No,,4x2
191,,,,1 498 ccm,New,WAUZZZF3XR1069365,,42449,110 kW,audi q3,,61022967,,,,10 km,Audi,,,Q3,,,1/2023,4/5 doors,,,,134 g/km,,EUR,LED headlights; Digital cockpit; Navigation system; Bluetooth; Leather; Automatic lights; Rain sensor; Light sensor; Lane assist; Hill-start assist,,Full leather interior,,,5.6 l/100km (combined),SUV / offroad,,Black,,Automatic,Petrol,,,4x2
192,,,Euro 6,999 ccm,,not published by the seller,,14799,86 kW,nissan juke,1,61022977,,,Black interior,119 020 km,Nissan,,,Juke,,,1/2020,4/5 doors,04/2025,,,112 g/km,Metallic,EUR,LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system; Sport front seats,,Cloth interior,,,4.9 l/100km (combined); 5.1 l/100km (city); 4.1 l/100km ,SUV / offroad,,Grey,5,Manual,Petrol,,,4x2
193,,,Euro 6d,1 332 ccm,,not published by the seller,,27299,103 kW,renault captur,,61022972,,,Other interior color,10 km,Renault,Mild hybrid,,Captur,,,12/2023,4/5 doors,,,,133 g/km,Metallic,EUR,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,,Cloth interior,,,5.9 l/100km (combined); 6.5 l/100km (city); 4.6 l/100km ,SUV / offroad,,Blue,5,Automatic,Petrol,No,,4x2
194,,,Euro 6d-TEMP,1 499 ccm,,not published by the seller,,22449,103 kW,bmw 218,2,61022971,,,Black interior,78 950 km,BMW,,,218,,,4/2020,2/3 doors,05/2025,,,131 g/km,,EUR,LED headlights; Digital cockpit; Heated front seats; WLAN/Wifi hotspot; Voice control; Navigation system; Sport front seats; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning,,Part leather interior,,,5.7 l/100km (combined); 7.5 l/100km (city); 4.7 l/100km ,Coupe,,White,5,Manual,Petrol,,,4x2
195,,,Euro 6,1 461 ccm,Used,not published by the seller,,13849,66 kW,dacia sandero,1,61022969,,,,62 534 km,Dacia,,,Sandero,,,1/2018,4/5 doors,,,,98 g/km,,EUR,Bluetooth; Hill-start assist; Daytime running lights,,,,,3.8 l/100km (combined); 3.8 l/100km (city); 3.8 l/100km ,Hatchback,06/2024,White,5,Manual,Diesel,,,4x2
196,,,Euro 6,1 199 ccm,Used,not published by the seller,,18249,61 kW,citroen c3,,61022968,,,Black interior,5 km,Citroen,,,C3,,,9/2023,4/5 doors,,,,100 g/km,Metallic,EUR,LED headlights; Keyless entry; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Traffic sign recognition; Bluetooth; Automatic A/C,,Cloth interior,,,5.5 l/100km (combined),Hatchback,,Grey,,Manual,Petrol,,,4x2
197,1450,,Euro 6,1 968 ccm,Used,not published by the seller,,21599,75 kW,volkswagen caddy,,61022982,,,Black interior,72 902 km,Volkswagen,,,Caddy,,,11/2019,4/5 doors,,Belgium,,127 g/km,,EUR,Bluetooth; On-board computer; Front electric windows; Central locking with remote,,Cloth interior,,,6.6 l/100km (combined); 6.6 l/100km (city); 6.6 l/100km ,Cargo VAN,,Silver,2,Manual,Diesel,,,4x2
198,,,Euro 6d-TEMP,2 993 ccm,,not published by the seller,,79549,294 kW,bmw x7,2,61022974,,,Black interior,108 099 km,BMW,,,X7,,,6/2019,4/5 doors,,,,185 g/km,Metallic,EUR,Laser headlights; Driver's seat with massage function; Heated rear seats; Air suspension; Parking assist system self-steering; Digital cockpit; Keyless entry; Smart key; Electric adjustable front seats; Adaptive cruise control,,Full leather interior,,,7.3 l/100km (combined); 7.8 l/100km (city); 6.7 l/100km ,SUV / offroad,,Grey,7,Automatic,Diesel,,,4x4
199,,,Euro 6d,998 ccm,New,not published by the seller,,25949,88 kW,kia xceed,,61022949,,,Other interior color,1 km,Kia,,,XCeed,,,9/2023,4/5 doors,,,,124 g/km,,EUR,LED headlights; Smart key; Heated front seats; Apple CarPlay; Android auto; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic A/C,,Other interior material,,,5.4 l/100km (combined),SUV / offroad,,,,Manual,Petrol,,,4x2
200,,,Euro 6,1 598 ccm,Used,not published by the seller,,29349,96 kW,fiat 500x,,61022966,,,Black interior,35 000 km,Fiat,,,500X,,,10/2021,4/5 doors,,Italy,,124 g/km,Metallic,EUR,Bluetooth; USB,,Part leather interior,,,5.2 l/100km (combined),SUV / offroad,,Silver,5,Manual,Diesel,,,4x2
201,,,Euro 6,1 461 ccm,,not published by the seller,,23499,85 kW,mercedes-benz a-180,1,61022962,,,Black interior,144 000 km,Mercedes-Benz,,,A 180,,,10/2020,4/5 doors,10/2023,,,106 g/km,Metallic,EUR,LED headlights; Keyless entry; Electric adjustable front seats; Heated front seats; Keyless ignition; Voice control; Navigation system; Sport front seats; Traffic sign recognition; Bluetooth,,Alcantara interior,,,4 l/100km (combined); 4.7 l/100km (city); 3.6 l/100km ,Sedans / saloons,,Silver,5,Manual,Diesel,,,4x2
202,1985,,No emission class,,Used,not published by the seller,,52299,160 kW,subaru solterra,,61022944,,,Black interior,11 134 km,Subaru,,,Solterra,,,1/2023,4/5 doors,,,,0 g/km,,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system,,Cloth interior,,,0 kWh/100km (combined),SUV / offroad,,Black,5,Automatic,Electric,,,4x4
203,,,Euro 6,1 598 ccm,Used,not published by the seller,,23699,118 kW,renault espace,,61022953,,,,82 822 km,Renault,,,Espace,,,10/2016,4/5 doors,,,,120 g/km,,EUR,Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Keyless ignition; Automatic multi-zone A/C; Panoramic roof; Navigation system; Traffic sign recognition,,,,,4.5 l/100km (combined),MPV,06/2024,Grey,5,Automatic,Diesel,,,4x2
204,,,Euro 6,1 598 ccm,Used,not published by the seller,,21099,121 kW,peugeot 3008,1,61022954,,,,70 000 km,Peugeot,,,3008,,,3/2017,4/5 doors,,,,129 g/km,Metallic,EUR,Digital cockpit; Bluetooth; Hill-start assist; Electrically heated side mirrors; Leather steering wheel; Automatic parking brake; Ambient lighting; USB; Front electric windows; Alloy wheels,,,,,5.4 l/100km (combined),SUV / offroad,12/2024,Grey,5,Automatic,Petrol,,,4x2
205,,,Euro 6,1 199 ccm,Used,not published by the seller,,16849,81 kW,peugeot 2008,,61022961,,,Black interior,60 245 km,Peugeot,,,2008,,,8/2019,4/5 doors,,,,114 g/km,Metallic,EUR,Automatic multi-zone A/C; Sport front seats; Rear parking camera; Electrically heated side mirrors; Leather steering wheel; On-board computer,,,,,4.8 l/100km (combined),SUV / offroad,12/2024,Grey,5,Automatic,Petrol,,,4x2
206,,,Euro 6,1 598 ccm,Used,not published by the seller,,23049,70 kW,volkswagen t-cross,1,61022965,,,Black interior,44 744 km,Volkswagen,,,T-Cross,,,7/2020,4/5 doors,,,,110 g/km,Metallic,EUR,Digital cockpit; Navigation system; Paddle shifters; Bluetooth; Adaptive lighting; Automatic A/C; Automatic lights; Rain sensor; Autom. dimming side mirros; Multifunctional steering wheel,,,,,4.2 l/100km (combined),SUV / offroad,12/2024,Grey,5,Automatic,Diesel,,,4x2
207,,,Euro 6,,,not published by the seller,,25149,70 kW,fiat 500,,61022947,Lithium-ion (Li-ion),160000 km,Black interior,46 900 km,Fiat,,70 kW,500,,24 kWh,5/2021,2/3 doors,,,,0 g/km,Metallic,EUR,Automatic A/C,3 h,Other interior material,30 min,,,Hatchback,,Blue,4,Automatic,Electric,No,,4x2
208,,,,,,not published by the seller,Yes,87749,247 kW,mercedes-benz gle-350,1,61022955,,,Black interior,29 980 km,Mercedes-Benz,,,GLE 350,,,1/2023,4/5 doors,,,,0 g/km,,EUR,Air suspension; Digital cockpit; Adaptive cruise control; Burmester audio; Apple CarPlay; Panoramic roof; Navigation system; Paddle shifters; Sport front seats; Bluetooth,,Full leather interior,,,,SUV / offroad,,,,Automatic,Hybrid,,,4x4
209,1965,,No emission class,2 993 ccm,Used,not published by the seller,,28349,280 kW,bmw 550,,61022958,,,Black interior,160 540 km,BMW,,,550,,,1/2013,4/5 doors,,,,170 g/km,Metallic,EUR,Air suspension; Heated front seats; Head-up display; Panoramic roof; Navigation system; Heated steering wheel; El. tailgate; Sport front seats; Traffic sign recognition; Bi-xenon headlights,,Full leather interior,,,6.4 l/100km (combined),Station Wagon,,Black,5,Automatic,Diesel,,,4x4
210,1867,,No emission class,1 968 ccm,Used,not published by the seller,,33049,140 kW,audi q5,,61022963,,,Other interior color,154 108 km,Audi,,,Q5,,,8/2017,4/5 doors,,,,132 g/km,Metallic,EUR,LED headlights; El. tailgate; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Leather steering wheel; Alloy wheels,,Other interior material,,,5 l/100km (combined),SUV / offroad,,Black,5,Automatic,Diesel,,,4x4
