,CARNAME,ID,Make,Model,Body color,Type of finish,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,El. motor power,CO2 emissions,Emission class,Battery type,AC charging time,DC charging time,Battery warranty (km),Range extender,Mileage,First registration,Condition,Consumption,Price,Currency,Tags,Engine capacity,Valid MOT until,Previous owners,Engine power,Battery capacity,Hybrid type,Electric range,Warranty until,Weight,Country of origin,Secondary drive,Energy efficiency,Full service history
10,kia ev6,61031939,Kia,EV6,Blue,Metallic,Black interior,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,168 kW,,0 g/km,Euro 6d,,,,,No,0 km,9/2023,New,16.5 kWh/100km (combined),55849,EUR,Ventilated front seats; Heated rear seats; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,,,,,77 kWh,,,,,,,,
11,citroen berlingo,61031858,Citroen,Berlingo,White,,Black interior,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,,130 g/km,Euro 6d-TEMP,,,,,,39 957 km,4/2019,,5.7 l/100km (combined); 6.7 l/100km (city); 5.1 l/100km ,22049,EUR,Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system; Traffic sign recognition; Bluetooth,1 199 ccm,,1,,,,,,,,,,
12,volkswagen t5-transporter,61031802,Volkswagen,T5 Transporter,Grey,,Grey interior,Other interior material,Cargo VAN,4/5 doors,4,not published by the seller,Diesel,Manual,4x4,103 kW,,219 g/km,Euro 5,,,,,,82 423 km,1/2013,,8.3 l/100km (combined),46149,EUR,On-board computer; CD player; Front electric windows; Detachable trailer coupling,1 968 ccm,,1,,,,,,,,,,
13,lada niva,61031796,Lada,Niva,Black,,Grey interior,Cloth interior,SUV / offroad,2/3 doors,4,not published by the seller,Petrol,Manual,4x4,61 kW,,246 g/km,Euro 6,,,,,,10 km,9/2023,New,10 l/100km (combined); 12.2 l/100km (city); 8.5 l/100km ,20749,EUR,Bluetooth; Daytime running lights; On-board computer; Front electric windows,1 690 ccm,,,,,,,,,,,,
14,renault grand-scenic,61031768,Renault,Grand Scenic,Black,Metallic,Black interior,Full leather interior,MPV,4/5 doors,7,not published by the seller,Petrol,Automatic,4x2,116 kW,,146 g/km,Euro 6d,,,,,,10 km,12/2023,,6.4 l/100km (combined),34599,EUR,Driver's seat with massage function; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Bose audio; Heated front seats; Head-up display,1 333 ccm,,,,,,,,,,,,
15,volkswagen taigo,61031754,Volkswagen,Taigo,Grey,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,,111 g/km,Euro 6d,,,,,,10 km,8/2023,,4.9 l/100km (combined); 5.9 l/100km (city); 4.1 l/100km ,24599,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Bluetooth; Automatic 2-zones air conditioning; High beam assist; Rain sensor; Light sensor,999 ccm,,,,,,,,,,,,
16,volkswagen t-roc,61031713,Volkswagen,T-Roc,Black,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,,127 g/km,Euro 6d-TEMP,,,,,,36 099 km,10/2019,,5.6 l/100km (combined); 6.8 l/100km (city); 4.9 l/100km ,25149,EUR,Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Navigation system; El. tailgate; Paddle shifters; Sport front seats; Automatic 2-zones air conditioning,1 498 ccm,10/2024,1,,,,,,,,,,
17,bmw 530,61031675,BMW,530,Grey,Metallic,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,210 kW,,133 g/km,Euro 6d,,,,,No,25 700 km,3/2023,Used,5.1 l/100km (combined); 6.4 l/100km (city); 4.3 l/100km ,56399,EUR,Laser headlights; Ventilated front seats; Parking assist system self-steering; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Active steering; Head-up display,2 993 ccm,,1,,,Mild hybrid,,,,,,,
18,mercedes-benz glc-220,61031665,Mercedes-Benz,GLC 220,Black,,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,143 kW,,140 g/km,Euro 6d,,,,,,28 500 km,1/2022,,5.3 l/100km (combined); 6.1 l/100km (city); 4.9 l/100km ,48999,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition,1 950 ccm,,1,,,,,,,,,,
19,kia e-niro,61031640,Kia,e-Niro,Black,Metallic,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,150 kW,,0 g/km,No emission class,,,,,No,1 km,9/2023,New,0 kWh/100km (combined),46349,EUR,Ventilated front seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,,,,,65 kWh,,,,,,,,
