,CARNAME,ID,Make,Model,Body color,Type of finish,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,El. motor power,CO2 emissions,Emission class,Battery type,AC charging time,DC charging time,Battery warranty (km),Range extender,Mileage,First registration,Condition,Consumption,Price,Currency,Tags,Engine capacity,Valid MOT until,Previous owners,Engine power,Battery capacity,Hybrid type,Electric range,Warranty until,Weight,Country of origin,Secondary drive,Energy efficiency,Full service history
112,opel combo,61029190,Opel,Combo,Grey,Metallic,Grey interior,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,96 kW,,113 g/km,No emission class,,,,,,10 km,2/2023,,4.3 l/100km (combined); 4.7 l/100km (city); 4.1 l/100km ,38149,EUR,Heated front seats; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; High beam assist; Rain sensor; Light sensor; Lane assist; Hill-start assist,1 499 ccm,02/2024,,,,,,,,,,,
113,peugeot 308,61029153,Peugeot,308,Black,Metallic,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,,125 g/km,Euro 6d-TEMP,,,,,,73 000 km,9/2018,,5.4 l/100km (combined),16949,EUR,Parking assist system self-steering; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Navigation system; Traffic sign recognition; Bluetooth,1 199 ccm,,2,,,,,,,,,,
114,bmw 520,61029121,BMW,520,White,,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,140 kW,,0 g/km,Euro 6d-TEMP,,,,,No,750 km,11/2023,,,63599,EUR,LED headlights; Digital cockpit; Electric adjustable front seats; Heated front seats; Apple CarPlay; WLAN/Wifi hotspot; Integrated music streaming; Voice control; Navigation system; Paddle shifters,1 998 ccm,11/2026,1,,,Mild hybrid,,,,,,,
115,dacia sandero,61029113,Dacia,Sandero,Grey,,Grey interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,74 kW,,131 g/km,Euro 6,,,,,,0 km,9/2023,New,5.8 l/100km (combined); 7.1 l/100km (city); 5 l/100km ,21049,EUR,Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Navigation system; Bluetooth; Automatic A/C; Rain sensor,999 ccm,,,,,,,,,,,,
116,ford kuga,61029111,Ford,Kuga,White,,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,110 kW,,164 g/km,Euro 6d-TEMP,,,,,,27 800 km,12/2019,,7.2 l/100km (combined); 9.1 l/100km (city); 6.2 l/100km ,23599,EUR,Parking assist system self-steering; Keyless entry; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition; Panoramic roof; Voice control; Navigation system,1 498 ccm,,1,,,,,,,,,,
117,mercedes-benz cla-250,61029105,Mercedes-Benz,CLA 250,White,Metallic,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,160 kW,,23 g/km,Euro 6d-TEMP,,,,,No,85 423 km,11/2020,,1 l/100km (combined),32599,EUR,Parking assist system self-steering; LED headlights; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Paddle shifters; Sport front seats; Traffic sign recognition,1 332 ccm,,1,,11 kWh,,,,,,,,
118,mercedes-benz glc-43-amg,61029079,Mercedes-Benz,GLC 43 AMG,White,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,287 kW,,0 g/km,Euro 6d,,,,,,36 650 km,11/2020,,13.6 l/100km (city); 8.2 l/100km ,66849,EUR,Ventilated front seats; Heated rear seats; Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control,2 996 ccm,08/2025,1,,,,,,,,,,
119,lamborghini aventador,61029071,Lamborghini,Aventador,Grey,,Black interior,Alcantara interior,Cabriolet,2/3 doors,2,not published by the seller,Petrol,Automatic,4x4,545 kW,,394 g/km,Euro 6,,,,,,18 100 km,7/2018,,16.9 l/100km (combined); 26.2 l/100km (city); 11.6 l/100km ,468299,EUR,Air suspension; Digital cockpit; Electric adjustable front seats; Heated front seats; Apple CarPlay; Panoramic roof; Voice control; Navigation system; Paddle shifters; Sport front seats,6 498 ccm,,2,,,,,,,,,,
120,hyundai tucson,61029015,Hyundai,Tucson,White,,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,136 kW,,148 g/km,Euro 6d-TEMP,,,,,No,109 214 km,2/2020,,5.6 l/100km (combined); 6.1 l/100km (city); 5.2 l/100km ,25499,EUR,LED headlights; Keyless entry; Heated front seats; Keyless ignition; Navigation system; Heated steering wheel; El. tailgate; Sport front seats; Traffic sign recognition; Bluetooth,1 995 ccm,05/2025,1,,,Mild hybrid,,,,,,,
121,volkswagen taigo,61028997,Volkswagen,Taigo,Green,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,81 kW,,111 g/km,Euro 6d-TEMP,,,,,,29 200 km,9/2022,,4.9 l/100km (combined),27749,EUR,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; Navigation system,999 ccm,09/2023,1,,,,,,,,,,
122,audi a8,61028983,Audi,A8,Grey,Metallic,Black interior,Full leather interior,Sedans / saloons,4/5 doors,4,not published by the seller,Hybrid,Automatic,4x4,210 kW,,156 g/km,Euro 6d-TEMP,,,,,No,94 000 km,3/2019,,5.9 l/100km (combined); 6.7 l/100km (city); 5.5 l/100km ,73099,EUR,Laser headlights; Driver's seat with massage function; Ventilated front seats; Heated rear seats; Air suspension; Parking assist system self-steering; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control,2 967 ccm,04/2024,,,,Mild hybrid,,,,,,,
123,citroen c5-aircross,61028982,Citroen,C5 Aircross,Grey,Metallic,Grey interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,133 kW,,128 g/km,No emission class,,,,,,57 500 km,11/2019,,5.7 l/100km (combined); 7.1 l/100km (city); 4.9 l/100km ,25749,EUR,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition,1 598 ccm,,1,,,,,,,,,,
124,bmw 218-active-tourer,61028929,BMW,218 Active Tourer,Grey,Metallic,Black interior,Full leather interior,MPV,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,103 kW,,122 g/km,Euro 6d-TEMP,,,,,,46 500 km,9/2020,,5.3 l/100km (combined); 6.6 l/100km (city); 4.6 l/100km ,21449,EUR,Parking assist system self-steering; LED headlights; Keyless entry; Heated front seats; Integrated music streaming; Keyless ignition; Voice control; Navigation system; El. tailgate; Bluetooth,1 499 ccm,,1,,,,,,,,,,
125,mercedes-benz a-200,61028939,Mercedes-Benz,A 200,Black,Metallic,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,120 kW,,122 g/km,Euro 6,,,,,,17 900 km,4/2021,,5.3 l/100km (combined); 7 l/100km (city); 4.3 l/100km ,26499,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Glare-free high beam headlights,1 332 ccm,04/2024,1,,,,,,,,,,
126,hyundai santa-fe,61028875,Hyundai,Santa Fe,Silver,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,not published by the seller,Hybrid,Automatic,4x4,169 kW,,132 g/km,Euro 6d,,,,,,25 km,10/2023,,5.8 l/100km (combined); 8.6 l/100km (city); 6.5 l/100km ,60549,EUR,Ventilated front seats; Heated rear seats; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,1 598 ccm,10/2026,1,,,,,,,,,,
127,rolls-royce cullinan,61028884,Rolls-Royce,Cullinan,Black,Metallic,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,420 kW,,376 g/km,Euro 6c,,,,,,200 km,9/2023,New,16.5 l/100km (combined); 28.4 l/100km (city); 13.6 l/100km ,692499,EUR,Driver's seat with massage function; Ventilated front seats; Heated rear seats; Air suspension; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats,6 749 ccm,,,,,,,,,,,,
128,audi s4,61028865,Audi,S4,Blue,Metallic,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,255 kW,,162 g/km,Euro 6d-TEMP,,,,,No,123 800 km,9/2019,,6.2 l/100km (combined); 6.9 l/100km (city); 5.4 l/100km ,40749,EUR,Driver's seat with massage function; Heated rear seats; Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats,2 967 ccm,,1,,,Mild hybrid,,,,,,,
129,citroen berlingo,61028839,Citroen,Berlingo,Grey,Metallic,Grey interior,Cloth interior,Cargo VAN,4/5 doors,7,not published by the seller,Petrol,Automatic,4x2,96 kW,,121 g/km,Euro 6d,,,,,,100 km,5/2023,,5.3 l/100km (combined); 6.4 l/100km (city); 5.1 l/100km ,34799,EUR,Digital cockpit; Heated front seats; Smartphone mirroring; Glare-free high beam headlights; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning; High beam assist; Rain sensor; Blind spot assist,1 199 ccm,05/2026,1,,,,,,,,,,
130,hyundai santa-fe,61028820,Hyundai,Santa Fe,Silver,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,169 kW,,132 g/km,Euro 6,,,,,No,50 km,4/2023,,5.8 l/100km (combined),46349,EUR,LED headlights; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Navigation system; Paddle shifters; Bluetooth; Automatic 2-zones air conditioning; Induction charging for smartphones,1 598 ccm,,,,13 kWh,Plug-in hybrid,,,,,,,
131,volkswagen t6-transporter,61028813,Volkswagen,T6 Transporter,Grey,,Grey interior,Cloth interior,Cargo VAN,4/5 doors,9+,not published by the seller,Diesel,Manual,4x2,110 kW,,171 g/km,Euro 6,,,,,,1 501 km,5/2023,Used,6.5 l/100km (combined),58499,EUR,Bluetooth; Rain sensor; Light sensor; Hill-start assist; Front collision warning system; Side mirrors with electic adjustment; Daytime running lights; Cornering lights; On-board computer; Start-stop system,1 968 ccm,,1,,,,,,,,,,
132,mercedes-benz gle-450,61028799,Mercedes-Benz,GLE 450,Black,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,270 kW,,0 g/km,Euro 6d-TEMP,,,,,No,1 440 km,8/2023,,,111299,EUR,Air suspension; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Burmester audio; Heated front seats; Integrated music streaming; Keyless ignition,2 989 ccm,08/2026,1,,,Mild hybrid,,,,,,,
133,opel mokka-x,61028779,Opel,Mokka X,Brown,Metallic,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,103 kW,,144 g/km,Euro 6,,,,,,76 910 km,7/2017,,6.2 l/100km (combined); 8.2 l/100km (city); 5.1 l/100km ,17449,EUR,LED headlights; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition; Voice control; Navigation system,1 364 ccm,,2,,,,,,,,,,
134,citroen c3-aircross,61028777,Citroen,C3 Aircross,Black,,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,,114 g/km,Euro 6d-TEMP,,,,,,18 291 km,7/2020,,5 l/100km (combined); 5.9 l/100km (city); 4.5 l/100km ,21499,EUR,Keyless entry; Heated front seats; Head-up display; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Panoramic roof; Voice control; Navigation system,1 199 ccm,,1,,,,,,,,,,
135,bentley continental-gt,61028784,Bentley,Continental GT,Grey,Metallic,Black interior,Full leather interior,Coupe,2/3 doors,4,not published by the seller,Petrol,Automatic,4x4,404 kW,,0 g/km,Euro 6,,,,,,19 000 km,10/2021,,,208149,EUR,Driver's seat with massage function; Ventilated front seats; Air suspension; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Heated front seats; Head-up display; Apple CarPlay,3 996 ccm,,2,,,,,,,,,,
136,mini cooper-clubman,61028757,MINI,Cooper Clubman,Silver,Metallic,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,100 kW,,112 g/km,Euro 6d,,,,,,1 km,9/2023,New,5.6 l/100km (combined),37349,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Keyless ignition; Voice control; Navigation system; Sport front seats,1 500 ccm,,,,,,,,,,,,
137,bmw 225-active-tourer,61028694,BMW,225 Active Tourer,Grey,Metallic,Black interior,Cloth interior,MPV,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,165 kW,,42 g/km,Euro 6,,,,,,32 850 km,12/2020,,1.9 l/100km (combined),26799,EUR,Parking assist system self-steering; LED headlights; Heated front seats; Apple CarPlay; Voice control; Navigation system; Glare-free high beam headlights; El. tailgate; Sport front seats; Bluetooth,1 499 ccm,,1,,,,,,,,,,
138,seat ateca,61028672,Seat,Ateca,Black,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,110 kW,,124 g/km,Euro 6,,,,,,28 374 km,5/2021,,4.7 l/100km (combined),26549,EUR,Parking assist system self-steering; LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system,1 968 ccm,07/2025,1,,,,,,,,,,
139,bmw x4,61028627,BMW,X4,Grey,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,140 kW,,146 g/km,Euro 6,,,,,,60 613 km,10/2018,,5.6 l/100km (combined); 6.2 l/100km (city); 5.2 l/100km ,37749,EUR,Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Android auto; WLAN/Wifi hotspot; Integrated music streaming,1 995 ccm,10/2025,1,,,,,,,,,,
140,mercedes-benz gla-220,61028617,Mercedes-Benz,GLA 220,Brown,Metallic,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,130 kW,,152 g/km,Euro 6,,,,,,124 500 km,6/2018,,6.5 l/100km (combined); 5.8 l/100km (city); 4.3 l/100km ,24099,EUR,LED headlights; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Paddle shifters; Sport front seats; Bluetooth,2 143 ccm,10/2021,2,,,,,,,,,,
141,citroen berlingo,61028602,Citroen,Berlingo,White,,Grey interior,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,,121 g/km,Euro 6d,,,,,,22 311 km,8/2021,,5.4 l/100km (combined); 6.3 l/100km (city); 4.8 l/100km ,20749,EUR,Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Traffic sign recognition; Bluetooth; Lane assist; Hill-start assist; Front collision warning system; Daytime running lights,1 199 ccm,,1,,,,,,,,,,
142,ds-automobiles 3-crossback,61028541,DS Automobiles,3 Crossback,White,,Black interior,Full leather interior,Hatchback,2/3 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,,113 g/km,Euro 6d,,,,,,19 512 km,4/2020,,4.9 l/100km (combined); 5.9 l/100km (city); 4.4 l/100km ,24649,EUR,LED headlights; Keyless entry; Heated front seats; Head-up display; Smartphone mirroring; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,,,1,,,,,,,,,,
143,audi a1,61028504,Audi,A1,Black,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,70 kW,,106 g/km,Euro 6d-TEMP,,,,,,46 760 km,5/2019,,4.7 l/100km (combined); 5.9 l/100km (city); 4 l/100km ,16899,EUR,Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Sport front seats; Bluetooth; Automatic 2-zones air conditioning; Rain sensor,999 ccm,,2,,,,,,,,,,
144,nissan micra,61028458,Nissan,Micra,Grey,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,66 kW,,118 g/km,Euro 6,,,,,,17 922 km,6/2019,,5.1 l/100km (combined); 6.2 l/100km (city); 4.4 l/100km ,13799,EUR,Traffic sign recognition; Bluetooth; High beam assist; Rain sensor; Light sensor; Lane assist; Hill-start assist; Front collision warning system; Side mirrors with electic adjustment; Daytime running lights,898 ccm,,2,,,,,,,,,,
145,volkswagen golf,61028427,Volkswagen,Golf,Red,Metallic,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,,116 g/km,Euro 6d-TEMP,,,,,,37 836 km,8/2019,,5.1 l/100km (combined); 6.6 l/100km (city); 4.3 l/100km ,24199,EUR,Parking assist system self-steering; Keyless entry; Adaptive cruise control; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Panoramic roof,1 498 ccm,,,,,,,,,,,,
146,mazda 3,61028426,Mazda,3,Grey,Metallic,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,90 kW,,117 g/km,No emission class,,,,,,5 km,12/2023,,5.4 l/100km (combined),27849,EUR,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system,1 998 ccm,12/2025,,,,,,,,,,,
147,volkswagen t6-caravelle,61028389,Volkswagen,T6 Caravelle,Grey,,Black interior,Cloth interior,Cargo VAN,4/5 doors,7,not published by the seller,Diesel,Automatic,4x2,110 kW,,164 g/km,Euro 6d-TEMP,,,,,,19 200 km,4/2023,,6.2 l/100km (combined),53149,EUR,LED headlights; Adaptive cruise control; Heated front seats; WLAN/Wifi hotspot; Integrated music streaming; Navigation system; Bluetooth; Light sensor; Hill-start assist; Parking sensors,1 968 ccm,,1,,,,,,,,,,
148,mercedes-benz g-500,61028397,Mercedes-Benz,G 500,Blue,Metallic,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,310 kW,,289 g/km,Euro 6,,,,,,4 500 km,10/2016,,12.3 l/100km (combined); 16.3 l/100km (city); 12.3 l/100km ,197899,EUR,Ventilated front seats; Heated rear seats; Electric adjustable front seats; Harman/Kardon audio; Heated front seats; Voice control; Navigation system; Paddle shifters; Bi-xenon headlights; Bluetooth,3 982 ccm,,1,,,,,,,,,,
149,mercedes-benz v-300,61028386,Mercedes-Benz,V 300,Black,Metallic,Black interior,Cloth interior,MPV/VAN,4/5 doors,7,not published by the seller,Diesel,Automatic,4x4,176 kW,,172 g/km,Euro 6d-TEMP,,,,,,90 103 km,3/2020,,6.5 l/100km (combined); 7.3 l/100km (city); 6.1 l/100km ,57449,EUR,Parking assist system self-steering; LED headlights; Heated front seats; Bluetooth; Automatic A/C; High beam assist; Rain sensor; Light sensor; Lane assist; Blind spot assist,1 950 ccm,,1,,,,,,,,,,
150,seat arona,61028383,Seat,Arona,White,Metallic,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,,109 g/km,Euro 6d,,,,,,5 km,5/2022,,4.8 l/100km (combined); 5.9 l/100km (city); 4.4 l/100km ,23149,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Sport front seats; Bluetooth,999 ccm,,1,,,,,,,,,,
151,ford tourneo-connect,61028266,Ford,Tourneo Connect,Grey,Metallic,Grey interior,Cloth interior,MPV/VAN,4/5 doors,7,not published by the seller,Diesel,Manual,4x2,90 kW,,130 g/km,No emission class,,,,,,10 km,12/2023,,5 l/100km (combined); 6.1 l/100km (city); 4.2 l/100km ,36299,EUR,LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Heated steering wheel; Glare-free high beam headlights; Traffic sign recognition,1 968 ccm,12/2026,1,,,,,,,,,,
152,volkswagen touareg,61028248,Volkswagen,Touareg,Black,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,170 kW,,184 g/km,Euro 6,,,,,,21 135 km,1/2023,Used,8.2 l/100km (combined),63699,EUR,Ventilated front seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto,2 967 ccm,,1,,,,,,,,,,
153,seat ibiza,61028241,Seat,Ibiza,Black,Metallic,Grey interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,81 kW,,110 g/km,Euro 6,,,,,,2 170 km,6/2023,Demonstration car,4.8 l/100km (combined); 7.7 l/100km (city); 5.8 l/100km ,27549,EUR,LED headlights; Digital cockpit; Keyless entry; Panoramic roof; Navigation system; Sport front seats; Bluetooth; Sport-suspension system; Automatic A/C; Light sensor,999 ccm,06/2024,,,,,,,,,,,
154,mini cooper-s-cabrio,61028231,MINI,Cooper S Cabrio,Grey,Metallic,Black interior,Full leather interior,Cabriolet,2/3 doors,4,not published by the seller,Petrol,Automatic,4x2,141 kW,,139 g/km,Euro 6,,,,,,64 300 km,10/2017,,6 l/100km (combined); 7.1 l/100km (city); 4.8 l/100km ,22649,EUR,Parking assist system self-steering; LED headlights; Keyless entry; Heated front seats; Keyless ignition; Sport front seats; Bluetooth; Automatic 2-zones air conditioning; Leather; Rain sensor,1 998 ccm,,1,,,,,,,,,,
155,ford grand-tourneo,61028182,Ford,Grand Tourneo,White,Metallic,Grey interior,Cloth interior,MPV/VAN,4/5 doors,7,not published by the seller,Petrol,Manual,4x2,84 kW,,150 g/km,Euro 6,,,,,,27 km,4/2023,,6.6 l/100km (combined); 8.3 l/100km (city); 5.7 l/100km ,34799,EUR,Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Bluetooth; Rain sensor; Light sensor; Lane assist,1 498 ccm,,1,,,,,,,,,,
156,audi a4,61028200,Audi,A4,Grey,Metallic,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Manual,4x4,140 kW,,116 g/km,Euro 6,,,,,,135 200 km,12/2017,,4.4 l/100km (combined); 5.1 l/100km (city); 4 l/100km ,26649,EUR,LED headlights; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Integrated music streaming; Navigation system; Paddle shifters; Sport front seats; Traffic sign recognition; Bluetooth,1 968 ccm,,1,,,,,,,,,,
157,citroen c3,61028195,Citroen,C3,White,,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,60 kW,,97 g/km,Euro 6d,,,,,,26 304 km,8/2020,,4 l/100km (combined); 4 l/100km (city); 3 l/100km ,13299,EUR,LED headlights; Heated front seats; Traffic sign recognition; Bluetooth; Lane assist; Hill-start assist; Front collision warning system; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,1 199 ccm,,1,,,,,,,,,,
158,volkswagen polo,61028133,Volkswagen,Polo,Silver,Metallic,Black interior,Velour interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,63 kW,,139 g/km,Euro 5,,,,,,47 000 km,10/2013,,5.8 l/100km (combined); 7.7 l/100km (city); 4.7 l/100km ,9899,EUR,Keyless entry; Keyless ignition; Sport front seats; Xenon headlights; Light sensor; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; Cornering lights,1 390 ccm,12/2024,2,,,,,,,,,,
159,mitsubishi space-star,61028151,Mitsubishi,Space Star,Blue,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,52 kW,,104 g/km,Euro 6d,,,,,,10 km,8/2023,New,4.5 l/100km (combined); 5.4 l/100km (city); 4 l/100km ,15299,EUR,Apple CarPlay; Android auto; Bluetooth; Rain sensor; Light sensor; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; On-board computer; USB,1 193 ccm,,,,,,,,,,,,
160,volkswagen up!,61028131,Volkswagen,up!,White,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,4,not published by the seller,Petrol,Manual,4x2,44 kW,,100 g/km,Euro 6d-TEMP,,,,,,66 900 km,8/2020,,4.4 l/100km (combined); 5.3 l/100km (city); 3.8 l/100km ,11249,EUR,Heated front seats; Bluetooth; High beam assist; Lane assist; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; Cornering lights; On-board computer; Alarm,999 ccm,09/2025,1,,,,,,,,,,
161,skoda kodiaq,61028136,Skoda,Kodiaq,Black,Metallic,Black interior,Part leather interior,SUV / offroad,4/5 doors,7,not published by the seller,Diesel,Automatic,4x4,176 kW,,168 g/km,Euro 6d-TEMP,,,,,,53 900 km,8/2020,,6.4 l/100km (combined),43399,EUR,Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto,1 968 ccm,,1,,,,,,,,,,
162,mercedes-benz gle-63-amg,61028122,Mercedes-Benz,GLE 63 AMG,Black,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,430 kW,,0 g/km,Euro 6,,,,,,150 000 km,7/2016,,,52199,EUR,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Apple CarPlay,5 461 ccm,,2,,,,,,,,,,
163,volkswagen tiguan-allspace,61028106,Volkswagen,Tiguan Allspace,Black,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,176 kW,,167 g/km,Euro 6d-TEMP,,,,,,67 486 km,4/2019,,6.4 l/100km (combined); 7.4 l/100km (city); 5.8 l/100km ,38649,EUR,Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,1 968 ccm,,1,,,,,,,,,,
164,mercedes-benz eqb,61028101,Mercedes-Benz,EQB,Gold,Metallic,Grey interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x4,168 kW,,0 g/km,Euro 6d,,,,,,11 900 km,5/2022,Used,0 kWh/100km (combined),40399,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Voice control; Navigation system; El. tailgate,,,1,,,,,,,,,,
165,volvo xc90,61028102,Volvo,XC90,Grey,Metallic,Other interior color,Other interior material,SUV / offroad,4/5 doors,7,not published by the seller,Diesel,Automatic,4x4,173 kW,,199 g/km,Euro 6d,,,,,,26 828 km,3/2023,,7.6 l/100km (combined),74299,EUR,Heated rear seats; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Android auto; Keyless ignition,1 969 ccm,,1,,,,,,,,,,
