CARNAME,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power(kW),CO2 emissions(g/km),Emission class,Mileage(km),First registration,Condition,Consumption(l/100km or kWh/100km),Price(EUR),Tags,Engine capacity(ccm),Previous owners
mercedes-benz glc-220,Mercedes-Benz,GLC 220,White,Black interior,Part leather interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x4,143,174,Euro 6d,10,4/2023,New,6.6,63899,Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Keyless ignition; Panoramic roof; Glare-free high beam headlights; El. tailgate,1950.0,0.0
hyundai tucson,Hyundai,Tucson,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x4,132,129,Euro 6d,0,12/2023,Demonstration car,5.6,37299,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,1598.0,1.0
volkswagen golf-sportsvan,Volkswagen,Golf Sportsvan,Blue,Black interior,Cloth interior,MPV,4/5 doors,5.0,Petrol,Manual,4x2,110,127,Euro 6,111492,7/2014,Used,5.5,13899,Parking assist system self-steering; Heated front seats; Panoramic roof; Navigation system; Glare-free high beam headlights; Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Light sensor; Front collision warning system,1395.0,2.0
skoda superb,Skoda,Superb,Red,Black interior,Alcantara interior,Station Wagon,4/5 doors,5.0,Diesel,Automatic,4x4,147,132,Euro 6d,150000,12/2020,Used,5.0,31049,Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto,1968.0,1.0
renault clio,Renault,Clio,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,103,123,Euro 6d,10,12/2023,New,5.4,25749,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,1333.0,0.0
volkswagen caddy,Volkswagen,Caddy,Blue,Black interior,Cloth interior,Cargo VAN,6/7 doors,5.0,Petrol,Automatic,4x2,84,134,Euro 6d,5588,2/2023,Used,5.8,35249,Adaptive cruise control; Heated front seats; Bluetooth; High beam assist; Light sensor; Lane assist; Front collision warning system; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment,1498.0,1.0
skoda superb,Skoda,Superb,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5.0,Diesel,Automatic,4x2,110,125,Euro 6d,20,8/2023,New,4.8,42049,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition; Voice control,1968.0,0.0
opel combo,Opel,Combo,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,7.0,LPG,Manual,4x2,81,149,Euro 6d,1270,9/2022,Used,5.7,41249,Heated front seats; Apple CarPlay; Android auto; Navigation system; Traffic sign recognition; Bluetooth; Light sensor; Front collision warning system; Multifunctional steering wheel; Side mirrors with electic adjustment,1199.0,1.0
renault captur,Renault,Captur,Red,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,103,132,Euro 6,5,12/2023,New,5.7,31749,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Navigation system; Traffic sign recognition,1332.0,1.0
mercedes-benz c-63-amg,Mercedes-Benz,C 63 AMG,Black,Black interior,Full leather interior,Cabriolet,2/3 doors,4.0,Petrol,Automatic,4x2,375,208,Euro 6,59950,2/2017,Used,8.9,68499,Ventilated front seats; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Burmester audio; Heated front seats; Head-up display; Integrated music streaming; Keyless ignition,3982.0,3.0
