CARNAME,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power(kW),CO2 emissions(g/km),Emission class,Mileage(km),First registration,Condition,Consumption(l/100km or kWh/100km),Price(EUR),Tags,Engine capacity(ccm),Previous owners
nissan juke,Nissan,Juke,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,86,112,Euro 6,119020,1/2020,Used,4.9,14799,LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system; Sport front seats,999.0,1.0
renault captur,Renault,Captur,Blue,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,103,133,Euro 6d,10,12/2023,New,5.9,27299,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,1332.0,0.0
bmw 218,BMW,218,White,Black interior,Part leather interior,Coupe,2/3 doors,5.0,Petrol,Manual,4x2,103,131,Euro 6d-TEMP,78950,4/2020,Used,5.7,22449,LED headlights; Digital cockpit; Heated front seats; WLAN/Wifi hotspot; Voice control; Navigation system; Sport front seats; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning,1499.0,2.0
dacia sandero,Dacia,Sandero,White,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Diesel,Manual,4x2,66,98,Euro 6,62534,1/2018,Used,3.8,13849,Bluetooth; Hill-start assist; Daytime running lights,1461.0,1.0
citroen c3,Citroen,C3,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,61,100,Euro 6,5,9/2023,Used,5.5,18249,LED headlights; Keyless entry; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Traffic sign recognition; Bluetooth; Automatic A/C,1199.0,0.0
volkswagen caddy,Volkswagen,Caddy,Silver,Black interior,Cloth interior,Cargo VAN,4/5 doors,2.0,Diesel,Manual,4x2,75,127,Euro 6,72902,11/2019,Used,6.6,21599,Bluetooth; On-board computer; Front electric windows; Central locking with remote,1968.0,0.0
bmw x7,BMW,X7,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,7.0,Diesel,Automatic,4x4,294,185,Euro 6d-TEMP,108099,6/2019,Used,7.3,79549,Laser headlights; Driver's seat with massage function; Heated rear seats; Air suspension; Parking assist system self-steering; Digital cockpit; Keyless entry; Smart key; Electric adjustable front seats; Adaptive cruise control,2993.0,2.0
kia xceed,Kia,XCeed,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,88,124,Euro 6d,1,9/2023,New,5.4,25949,LED headlights; Smart key; Heated front seats; Apple CarPlay; Android auto; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic A/C,998.0,0.0
fiat 500x,Fiat,500X,Silver,Black interior,Part leather interior,SUV / offroad,4/5 doors,5.0,Diesel,Manual,4x2,96,124,Euro 6,35000,10/2021,Used,5.2,29349,Bluetooth; USB,1598.0,0.0
mercedes-benz a-180,Mercedes-Benz,A 180,Silver,Black interior,Alcantara interior,Sedans / saloons,4/5 doors,5.0,Diesel,Manual,4x2,85,106,Euro 6,144000,10/2020,Used,4.0,23499,LED headlights; Keyless entry; Electric adjustable front seats; Heated front seats; Keyless ignition; Voice control; Navigation system; Sport front seats; Traffic sign recognition; Bluetooth,1461.0,1.0
subaru solterra,Subaru,Solterra,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x4,160,0,No emission class,11134,1/2023,Used,0.0,52299,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system,1499.0,0.0
renault espace,Renault,Espace,Grey,Black interior,Cloth interior,MPV,4/5 doors,5.0,Diesel,Automatic,4x2,118,120,Euro 6,82822,10/2016,Used,4.5,23699,Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Keyless ignition; Automatic multi-zone A/C; Panoramic roof; Navigation system; Traffic sign recognition,1598.0,0.0
peugeot 3008,Peugeot,3008,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,121,129,Euro 6,70000,3/2017,Used,5.4,21099,Digital cockpit; Bluetooth; Hill-start assist; Electrically heated side mirrors; Leather steering wheel; Automatic parking brake; Ambient lighting; USB; Front electric windows; Alloy wheels,1598.0,1.0
peugeot 2008,Peugeot,2008,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,81,114,Euro 6,60245,8/2019,Used,4.8,16849,Automatic multi-zone A/C; Sport front seats; Rear parking camera; Electrically heated side mirrors; Leather steering wheel; On-board computer,1199.0,0.0
volkswagen t-cross,Volkswagen,T-Cross,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x2,70,110,Euro 6,44744,7/2020,Used,4.2,23049,Digital cockpit; Navigation system; Paddle shifters; Bluetooth; Adaptive lighting; Automatic A/C; Automatic lights; Rain sensor; Autom. dimming side mirros; Multifunctional steering wheel,1598.0,1.0
fiat 500,Fiat,500,Blue,Black interior,Other interior material,Hatchback,2/3 doors,4.0,Electric,Automatic,4x2,70,0,Euro 6,46900,5/2021,Used,0.0,25149,Automatic A/C,1499.0,0.0
mercedes-benz gle-350,Mercedes-Benz,GLE 350,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Hybrid,Automatic,4x4,247,0,Euro 6,29980,1/2023,Used,4.6,87749,Air suspension; Digital cockpit; Adaptive cruise control; Burmester audio; Apple CarPlay; Panoramic roof; Navigation system; Paddle shifters; Sport front seats; Bluetooth,1499.0,1.0
bmw 550,BMW,550,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5.0,Diesel,Automatic,4x4,280,170,No emission class,160540,1/2013,Used,6.4,28349,Air suspension; Heated front seats; Head-up display; Panoramic roof; Navigation system; Heated steering wheel; El. tailgate; Sport front seats; Traffic sign recognition; Bi-xenon headlights,2993.0,0.0
audi q5,Audi,Q5,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x4,140,132,No emission class,154108,8/2017,Used,5.0,33049,LED headlights; El. tailgate; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Leather steering wheel; Alloy wheels,1968.0,0.0
volkswagen caddy,Volkswagen,Caddy,White,Other interior color,Cloth interior,Cargo VAN,4/5 doors,2.0,Diesel,Manual,4x2,75,128,Euro 6d-TEMP,41130,2/2021,Used,4.9,23499,LED headlights; Smartphone mirroring; Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Bluetooth; Light sensor; Multifunctional steering wheel; Side mirrors with electic adjustment,1968.0,1.0
citroen c3-aircross,Citroen,C3 Aircross,Blue,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,96,114,Euro 6,2,4/2023,Used,6.4,25549,LED headlights; Keyless entry; Heated front seats; Head-up display; Apple CarPlay; Android auto; Navigation system; Bluetooth; Automatic A/C; Rain sensor,1199.0,0.0
bmw 330,BMW,330,Blue,Black interior,Part leather interior,Station Wagon,4/5 doors,5.0,Diesel,Automatic,4x4,195,147,Euro 6d-TEMP,95300,6/2020,Used,5.6,35199,Laser headlights; Digital cockpit; Keyless entry; Heated front seats; Head-up display; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Panoramic roof,2993.0,1.0
jeep renegade,Jeep,Renegade,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,110,146,Euro 6,22142,3/2021,Used,6.4,26299,Electric adjustable front seats; Adaptive cruise control; Keyless ignition; Automatic multi-zone A/C; Navigation system; Traffic sign recognition; Automatic lights; Rain sensor; Lane assist; Hill-start assist,1332.0,1.0
citroen c4-picasso,Citroen,C4 Picasso,Blue,Black interior,Cloth interior,MPV,4/5 doors,5.0,Petrol,Manual,4x2,96,116,Euro 6,85552,5/2017,Used,4.9,14899,Keyless ignition; Automatic multi-zone A/C; El. tailgate; Rear parking camera; Automatic lights; Rain sensor; Blind spot assist; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment,1199.0,1.0
skoda karoq,Skoda,Karoq,Red,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x4,140,150,No emission class,71000,10/2019,Used,6.6,32049,Heated rear seats; LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Paddle shifters,1968.0,1.0
citroen berlingo,Citroen,Berlingo,Grey,Black interior,Cloth interior,Cargo VAN,4/5 doors,5.0,Diesel,Manual,4x2,75,111,Euro 6,106572,1/2021,Used,4.4,22699,Smartphone mirroring; Traffic sign recognition; Bluetooth; Adaptive lighting; Automatic A/C; Automatic lights; Rain sensor; Lane assist; Multifunctional steering wheel; Side mirrors with electic adjustment,1499.0,0.0
opel grandland,Opel,Grandland,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Diesel,Manual,4x2,96,103,Euro 6,19582,7/2021,Used,3.9,24199,Traffic sign recognition; Bluetooth; Hill-start assist; Multifunctional steering wheel; Daytime running lights; Electrically heated side mirrors; Leather steering wheel; On-board computer; Start-stop system; USB,1499.0,0.0
citroen c3,Citroen,C3,White,Other interior color,Other interior material,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,60,100,Euro 6d,12,9/2023,New,5.5,18849,LED headlights; Keyless entry; Keyless ignition; Traffic sign recognition; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Lane assist; Hill-start assist,1199.0,1.0
audi a3,Audi,A3,White,Black interior,Full leather interior,Hatchback,4/5 doors,5.0,Hybrid,Automatic,4x2,150,117,Euro 6,4500,11/2023,Demonstration car,5.7,40999,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system,1395.0,0.0
seat ateca,Seat,Ateca,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x4,140,156,Euro 6d,100,9/2023,New,6.9,39499,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition,1984.0,1.0
volkswagen t6-transporter,Volkswagen,T6 Transporter,Black,Black interior,Other interior material,Cargo VAN,4/5 doors,3.0,Diesel,Manual,4x2,84,156,Euro 6,54005,2/2019,Used,6.0,30499,Bluetooth; Hill-start assist; Parking sensors; Daytime running lights; Start-stop system; Front electric windows; Fixed trailer coupling,1968.0,1.0
mitsubishi eclipse-cross,Mitsubishi,Eclipse Cross,Silver,Black interior,Part leather interior,SUV / offroad,4/5 doors,5.0,Hybrid,Automatic,4x4,138,0,Euro 6d,10078,4/2022,Used,19.3,29549,Heated rear seats; LED headlights; Smart key; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Navigation system,2360.0,0.0
dacia dokker,Dacia,Dokker,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,5.0,Petrol,Manual,4x2,75,143,Euro 6,96095,4/2018,Used,6.3,9849,Bluetooth; Multifunctional steering wheel; Daytime running lights; Start-stop system; CD player; USB; AUX; Front electric windows; Fixed trailer coupling,1598.0,1.0
bmw 320,BMW,320,Grey,Other interior color,Cloth interior,Sedans / saloons,4/5 doors,5.0,Petrol,Automatic,4x2,135,0,Euro 6,139012,6/2017,Used,5.5,14799,Adaptive cruise control; Heated front seats; Voice control; Navigation system; Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment,1998.0,1.0
kia stonic,Kia,Stonic,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,74,104,No emission class,1,9/2023,New,4.5,23149,Heated front seats; Apple CarPlay; Android auto; Navigation system; Traffic sign recognition; Bluetooth; Automatic A/C; High beam assist; Rain sensor; Light sensor,998.0,0.0
smart fortwo,Smart,ForTwo,Grey,Black interior,Part leather interior,Hatchback,2/3 doors,2.0,Petrol,Automatic,4x2,52,110,Euro 6,62700,10/2019,Used,4.8,16749,Panoramic roof; On-board computer; Alloy wheels,999.0,1.0
volkswagen t5-kombi,Volkswagen,T5 Kombi,Silver,Black interior,Cloth interior,Cargo VAN,4/5 doors,5.0,Diesel,Manual,4x2,81,155,Euro 6d,36275,4/2021,Used,5.9,45699,Smartphone mirroring; Apple CarPlay; Android auto; Bluetooth; Hill-start assist; Parking sensors; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Start-stop system,1968.0,0.0
jeep renegade,Jeep,Renegade,Red,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Hybrid,Automatic,4x4,177,135,Euro 6,27406,6/2021,Used,5.9,29299,Adaptive cruise control; Keyless ignition; Automatic multi-zone A/C; Navigation system; Traffic sign recognition; Rear parking camera; Automatic lights; Rain sensor; Lane assist; Blind spot assist,1332.0,1.0
renault clio,Renault,Clio,White,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,66,114,Euro 6,42287,3/2018,Used,5.0,13399,Keyless ignition; Bluetooth; Hill-start assist; Daytime running lights,898.0,0.0
volkswagen tiguan-allspace,Volkswagen,Tiguan Allspace,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,7.0,Diesel,Automatic,4x4,140,153,Euro 6,114900,6/2018,Used,5.9,28299,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Keyless ignition; El. tailgate,1968.0,0.0
nissan qashqai,Nissan,Qashqai,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Diesel,Manual,4x2,85,100,Euro 6,32128,9/2019,Used,3.8,22549,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,1461.0,0.0
audi q5,Audi,Q5,Blue,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Hybrid,Automatic,4x2,100,123,Euro 6d-TEMP,22929,4/2021,Used,4.7,36349,LED headlights; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Navigation system; El. tailgate; Traffic sign recognition; Bluetooth; Automatic A/C; High beam assist,1968.0,0.0
volkswagen taigo,Volkswagen,Taigo,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,81,111,Euro 6d,12,1/2023,Used,4.9,28899,Parking assist system self-steering; LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Paddle shifters; Bluetooth; Automatic 2-zones air conditioning,999.0,0.0
bmw x3,BMW,X3,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x4,140,140,Euro 6,55551,12/2018,Used,5.5,43249,Front seats with memory; Electric adjustable front seats; Heated front seats; Head-up display; WLAN/Wifi hotspot; Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Automatic lights,1995.0,1.0
citroen c3,Citroen,C3,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,81,108,Euro 6,5325,10/2023,Used,5.4,22149,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,1199.0,1.0
opel combo,Opel,Combo,Grey,Black interior,Cloth interior,Cargo VAN,4/5 doors,5.0,Petrol,Manual,4x2,81,125,Euro 6,55807,5/2019,Used,5.5,21099,Apple CarPlay; Android auto; Parking sensors; Side mirrors with electic adjustment; Front electric windows,1200.0,0.0
cupra formentor,Cupra,Formentor,White,Black interior,Part leather interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x4,140,157,Euro 6,20,9/2023,New,6.9,42899,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition,1984.0,0.0
mercedes-benz c-200,Mercedes-Benz,C 200,Silver,Black interior,Full leather interior,Coupe,2/3 doors,4.0,Petrol,Automatic,4x2,135,128,Euro 6,54499,7/2017,Used,5.5,31399,Parking assist system self-steering; LED headlights; Electric adjustable front seats; Heated front seats; WLAN/Wifi hotspot; Panoramic roof; Voice control; Navigation system; Glare-free high beam headlights; Paddle shifters,1991.0,0.0
toyota aygo,Toyota,Aygo,Grey,Grey interior,Cloth interior,Hatchback,4/5 doors,4.0,Petrol,Manual,4x2,53,93,Euro 6d,72269,5/2021,Used,4.1,12849,Digital cockpit; Apple CarPlay; Android auto; Bluetooth; Automatic A/C; Lane assist; Multifunctional steering wheel; Side mirrors with electic adjustment; On-board computer; USB,998.0,0.0
audi a3,Audi,A3,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Diesel,Automatic,4x2,110,104,Euro 6,13600,5/2023,Used,4.7,45949,Digital cockpit; WLAN/Wifi hotspot; Automatic multi-zone A/C; Voice control; Navigation system; Paddle shifters; Sport front seats; Automatic lights; Rain sensor; Lane assist,1968.0,1.0
bmw 116,BMW,116,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Automatic,4x2,100,130,Euro 5,122000,9/2012,Used,5.5,11799,Heated front seats; Bluetooth; Rain sensor; Side mirrors with electic adjustment; On-board computer; Start-stop system; CD player; AUX; Front electric windows; Alloy wheels,1598.0,1.0
ford transit,Ford,Transit,Grey,Other interior color,Full leather interior,Cargo VAN,4/5 doors,3.0,Diesel,Manual,4x2,98,195,No emission class,59393,11/2018,Used,9.5,29699,Voice control; Bluetooth; Leather; Hill-start assist; Leather steering wheel; CD player; USB; Front electric windows; Rear electric windows,1996.0,0.0
alfa-romeo tonale,Alfa Romeo,Tonale,Red,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,96,130,Euro 6,1674,12/2022,Used,5.4,36699,Automatic multi-zone A/C; Automatic lights; Rain sensor; Electrically heated side mirrors; Automatic parking brake; USB; Alloy wheels,1469.0,0.0
peugeot 208,Peugeot,208,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,55,94,Euro 6,25341,9/2022,Used,5.3,14799,Head-up display; Traffic sign recognition; Automatic lights; Lane assist; Hill-start assist; Front collision warning system; Side mirrors with electic adjustment; Electrically heated side mirrors; On-board computer; Start-stop system,1199.0,1.0
volkswagen t6-transporter,Volkswagen,T6 Transporter,White,Black interior,Full leather interior,Cargo VAN,4/5 doors,5.0,Diesel,Manual,4x2,75,189,Euro 6d-TEMP,100000,7/2019,Used,6.7,28899,Bluetooth; Automatic 2-zones air conditioning; Leather; Hill-start assist; Front collision warning system; Parking sensors; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Start-stop system,1968.0,1.0
volkswagen t-roc,Volkswagen,T-Roc,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,81,119,No emission class,77217,5/2021,Used,6.0,21799,Bluetooth; USB,999.0,0.0
opel combo,Opel,Combo,Black,Black interior,Cloth interior,Cargo VAN,4/5 doors,5.0,Diesel,Manual,4x2,96,117,Euro 6d,13860,2/2023,Used,4.4,29449,Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic A/C,1499.0,0.0
volkswagen golf,Volkswagen,Golf,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Automatic,4x2,180,149,Euro 6,32754,3/2021,Used,6.5,32549,Digital cockpit; Navigation system; Paddle shifters; Bluetooth; Rear parking camera; Parking sensors; Autom. dimming side mirros; Automatic parking brake; Start-stop system; USB,1984.0,1.0
citroen c3,Citroen,C3,White,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,81,108,Euro 6,13185,3/2022,Used,5.4,18499,Navigation system; Bluetooth; Automatic A/C; Hill-start assist; Multifunctional steering wheel; Daytime running lights; Electrically heated side mirrors; On-board computer; Start-stop system; USB,1199.0,0.0
peugeot 3008,Peugeot,3008,Red,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,96,118,Euro 6,79479,7/2018,Used,4.9,21099,Head-up display; Automatic multi-zone A/C; Traffic sign recognition; Automatic lights; Rain sensor; Hill-start assist; Autom. dimming side mirros; Multifunctional steering wheel; Side mirrors with electic adjustment; Electrically heated side mirrors,1199.0,0.0
opel crossland,Opel,Crossland,Silver,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5.0,Diesel,Manual,4x2,81,94,Euro 6d-TEMP,1,6/2023,New,3.6,23099,LED headlights; Lane assist; Hill-start assist; Side mirrors with electic adjustment; On-board computer; Front electric windows,1499.0,0.0
bmw 850,BMW,850,Black,Black interior,Cloth interior,Cabriolet,2/3 doors,4.0,Petrol,Automatic,4x4,391,225,Euro 6,32517,7/2019,Used,9.9,98999,Laser headlights; Ventilated front seats; Parking assist system self-steering; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Bowers & Wilkins audio; Heated front seats; Head-up display,4395.0,0.0
audi a3,Audi,A3,Black,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5.0,Diesel,Automatic,4x2,110,102,Euro 6d,10,5/2023,New,4.6,40299,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system,1968.0,0.0
ford ranger,Ford,Ranger,Blue,Black interior,Full leather interior,Pick-up,4/5 doors,5.0,Diesel,Automatic,4x4,156,233,Euro 6,60672,1/2020,Used,8.8,48199,Electric adjustable front seats; Heated front seats; Apple CarPlay; Navigation system; Bluetooth; Automatic 2-zones air conditioning; Leather; Rain sensor; Light sensor; Lane assist,1996.0,0.0
nissan juke,Nissan,Juke,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Other fuel type,Manual,4x2,83,157,Euro 6,57000,1/2020,Used,6.9,15799,Bluetooth; Multifunctional steering wheel; Daytime running lights; CD player; Front electric windows; Alloy wheels,1598.0,0.0
seat ateca,Seat,Ateca,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x2,110,123,Euro 6,97078,5/2020,Used,4.7,25549,Automatic multi-zone A/C; Navigation system; Paddle shifters; Sport front seats; Automatic lights; Rain sensor; Hill-start assist; Autom. dimming side mirros; Multifunctional steering wheel; Side mirrors with electic adjustment,1968.0,1.0
ford fiesta,Ford,Fiesta,Brown,Other interior color,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,91,114,Euro 6,48398,3/2021,Used,5.2,16949,Side mirrors with electic adjustment; On-board computer; Start-stop system; Front electric windows,999.0,0.0
renault clio,Renault,Clio,Grey,Beige interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,103,123,Euro 6,2365,7/2023,Used,5.1,23149,Rear parking camera; Automatic A/C; Rain sensor; Hill-start assist; Parking sensors; Daytime running lights; Leather steering wheel,1332.0,1.0
peugeot 108,Peugeot,108,White,Black interior,Cloth interior,Hatchback,2/3 doors,4.0,Petrol,Manual,4x2,53,93,Euro 6,41885,3/2021,Used,4.9,12399,Bluetooth; Hill-start assist; Multifunctional steering wheel; On-board computer,998.0,1.0
bmw x7,BMW,X7,Blue,Other interior color,Full leather interior,SUV / offroad,4/5 doors,7.0,Petrol,Automatic,4x4,390,291,Euro 6,0,9/2023,New,12.9,158099,Driver's seat with massage function; Ventilated front seats; Heated rear seats; Parking assist system self-steering; Digital cockpit; Keyless entry; Electric adjustable front seats; Bowers & Wilkins audio; Heated front seats; Active steering,4395.0,0.0
renault megane,Renault,Megane,Blue,Other interior color,Cloth interior,Sedans / saloons,4/5 doors,5.0,Electric,Automatic,4x2,96,0,No emission class,99,8/2023,New,16.2,46849,LED headlights; Digital cockpit; Keyless entry; Harman/Kardon audio; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Heated steering wheel,1499.0,1.0
dacia lodgy,Dacia,Lodgy,Blue,Other interior color,Other interior material,MPV,4/5 doors,7.0,Diesel,Manual,4x2,85,109,No emission class,25554,6/2022,Used,4.2,19799,Bluetooth; Alloy wheels,1461.0,0.0
volkswagen caddy,Volkswagen,Caddy,Grey,Other interior color,Other interior material,Cargo VAN,4/5 doors,5.0,Petrol,Automatic,4x2,84,134,No emission class,1,9/2023,New,5.8,38999,Digital cockpit; Keyless ignition; Bluetooth; Automatic A/C; Rain sensor; Lane assist; Front collision warning system; Sport package; Multifunctional steering wheel; Side mirrors with electic adjustment,1498.0,0.0
volkswagen golf,Volkswagen,Golf,White,Other interior color,Cloth interior,Hatchback,4/5 doors,5.0,Hybrid,Automatic,4x2,180,109,No emission class,26995,3/2021,Used,4.8,33549,LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; Navigation system; Sport front seats,1395.0,0.0
bmw 320,BMW,320,Grey,Other interior color,Full leather interior,Station Wagon,4/5 doors,5.0,Other fuel type,Automatic,4x4,142,141,No emission class,93750,5/2020,Used,5.4,35899,Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Heated front seats; Head-up display; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Navigation system,1995.0,0.0
dacia sandero,Dacia,Sandero,White,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,68,126,Euro 6,768,8/2023,Used,5.3,19949,Automatic A/C; Automatic lights; Rain sensor; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Start-stop system; USB,999.0,1.0
renault captur,Renault,Captur,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Hybrid,Automatic,4x2,118,31,Euro 6,24267,11/2021,Used,4.6,27249,Navigation system; Traffic sign recognition; Bluetooth; Rear parking camera; Automatic lights; Rain sensor; Lane assist; Blind spot assist; Hill-start assist; Autom. dimming side mirros,1598.0,1.0
audi q2,Audi,Q2,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,110,121,Euro 6,14489,9/2022,Used,6.1,39699,Heated front seats; Automatic multi-zone A/C; Sport front seats; Bluetooth; Rear parking camera; Automatic lights; High beam assist; Hill-start assist; Autom. dimming side mirros; Front electric windows,1498.0,0.0
volkswagen polo,Volkswagen,Polo,Grey,Other interior color,Other interior material,Sedans / saloons,4/5 doors,5.0,Petrol,Manual,4x2,59,110,Euro 6d-TEMP,7819,7/2021,Used,4.8,18299,Navigation system; Bluetooth; Sport-suspension system; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Alarm; Start-stop system; Heated windshield; USB,999.0,0.0
opel corsa,Opel,Corsa,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,66,130,Euro 6,66505,4/2019,Used,5.7,10899,Heated front seats; Heated steering wheel; Bluetooth; Hill-start assist; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; Cornering lights,1398.0,2.0
